id,folder,fname,sample_type,label,modified_mac
1947,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_55205_104-79-230-155_443.pcap,0,18101,00:46:b5:07:9b:50
1948,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_46761_173-194-116-106_443.pcap,0,13101,00:33:2d:07:9c:50
1949,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_38635_216-58-208-66_443.pcap,0,13101,00:33:2d:07:9d:50
1950,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_52426_216-58-210-70_443.pcap,0,18101,00:46:b5:07:9e:50
1951,l_hi_chrome,L_cyber_chrome_10-13__10_38_01.pcap.TCP_10-0-0-19_50389_104-244-43-199_443.pcap,0,16101,00:3e:e5:07:9f:50
1952,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_39736_93-184-220-127_443.pcap,0,18101,00:46:b5:07:a0:50
1953,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data.pcap.TCP_10-0-0-8_36887_54-230-79-243_443.pcap,0,18101,00:46:b5:07:a1:50
1954,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_40152_93-184-220-127_443.pcap,0,18101,00:46:b5:07:a2:50
1955,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_52797_64-233-166-95_443.pcap,0,13101,00:33:2d:07:a3:50
1956,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_46913_212-179-154-221_443.pcap,0,13101,00:33:2d:07:a4:50
1957,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data.pcap.TCP_10-0-0-8_42157_192-0-72-3_443.pcap,0,18101,00:46:b5:07:a5:50
1958,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_43355_104-79-230-120_443.pcap,0,18101,00:46:b5:07:a6:50
1959,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_41412_54-230-79-109_443.pcap,0,18101,00:46:b5:07:a7:50
