id,folder,fname,sample_type,label,modified_mac
6260,l_hi_ff,L_cyber_ff_10-13__10_37_47.pcap.TCP_10-0-0-9_57588_212-179-180-102_443.pcap,0,13201,00:33:91:18:74:50
6261,l_hi_ff,L_hi_ff_linux_ff_alot_of_data.pcap.TCP_10-0-0-7_54869_212-179-180-76_443.pcap,0,17201,00:43:31:18:75:50
6262,l_hi_ff,L_cyber_ff_09-16__12_41_40.pcap.TCP_10-0-0-9_45700_212-179-154-231_443.pcap,0,13201,00:33:91:18:76:50
6263,l_hi_ff,L_cyber_ff_10-13__10_37_47.pcap.TCP_10-0-0-9_37345_212-179-180-95_443.pcap,0,13201,00:33:91:18:77:50
6264,l_hi_ff,L_cyber_ff_10-15__21_46_13.pcap.TCP_10-0-0-9_57728_192-229-233-25_443.pcap,0,16201,00:3f:49:18:78:50
6265,l_hi_ff,L_hi_ff_linux_ff_alot_of_data2.pcap.TCP_10-0-0-7_53045_93-184-220-127_443.pcap,0,18201,00:47:19:18:79:50
6266,l_hi_ff,L_cyber_ff_10-13__10_37_47.pcap.TCP_10-0-0-9_57743_212-179-180-88_443.pcap,0,13201,00:33:91:18:7a:50
6267,l_hi_ff,L_cyber_ff_10-13__10_37_47.pcap.TCP_10-0-0-9_51567_212-179-180-117_443.pcap,0,13201,00:33:91:18:7b:50
6268,l_hi_ff,L_cyber_ff_10-07__15_04_03.pcap.TCP_10-0-0-9_53738_216-58-209-225_443.pcap,0,13201,00:33:91:18:7c:50
6269,l_hi_ff,L_cyber_ff_10-15__21_46_13.pcap.TCP_10-0-0-9_56399_104-244-43-199_443.pcap,0,16201,00:3f:49:18:7d:50
6270,l_hi_ff,L_cyber_ff_09-08__18_05_04.pcap.TCP_10-0-0-9_41977_192-229-233-25_443.pcap,0,16201,00:3f:49:18:7e:50
6271,l_hi_ff,L_cyber_ff_10-15__21_46_13.pcap.TCP_10-0-0-9_37387_212-179-180-82_443.pcap,0,13201,00:33:91:18:7f:50
6272,l_hi_ff,L_hi_ff_linux_ff_alot_of_data2.pcap.TCP_10-0-0-7_42262_104-244-42-72_443.pcap,0,16201,00:3f:49:18:80:50
6273,l_hi_ff,L_hi_ff_linux_ff_alot_of_data2.pcap.TCP_10-0-0-7_45526_31-13-93-52_443.pcap,0,18201,00:47:19:18:81:50
6274,l_hi_ff,L_cyber_ff_10-13__10_37_47.pcap.TCP_10-0-0-9_52454_104-244-43-199_443.pcap,0,16201,00:3f:49:18:82:50
6275,l_hi_ff,L_cyber_ff_09-07__19_16_39.pcap.TCP_10-0-0-9_42844_212-179-154-251_443.pcap,0,13201,00:33:91:18:83:50
6276,l_hi_ff,L_cyber_ff_10-13__10_37_47.pcap.TCP_10-0-0-9_47139_104-244-43-167_443.pcap,0,16201,00:3f:49:18:84:50
6277,l_hi_ff,L_cyber_ff_10-06__14_04_06.pcap.TCP_10-0-0-9_38344_212-179-180-117_443.pcap,0,13201,00:33:91:18:85:50
6278,l_hi_ff,L_hi_ff_linux_ff_alot_of_data2.pcap.TCP_2-20-180-17_443_10-0-0-7_38103.pcap,0,12201,00:2f:a9:18:86:50
6279,l_hi_ff,L_cyber_ff_10-08__10_07_57.pcap.TCP_10-0-0-9_44471_192-229-233-25_443.pcap,0,16201,00:3f:49:18:87:50
6280,l_hi_ff,L_cyber_ff_09-08__18_05_04.pcap.TCP_10-0-0-9_52790_216-58-208-78_443.pcap,0,13201,00:33:91:18:88:50
6281,l_hi_ff,L_cyber_ff_10-07__15_04_03.pcap.TCP_10-0-0-9_59485_216-58-208-46_443.pcap,0,13201,00:33:91:18:89:50
6282,l_hi_ff,L_cyber_ff_09-09__19_35_09.pcap.TCP_10-0-0-9_54042_216-58-210-78_443.pcap,0,13201,00:33:91:18:8a:50
6283,l_hi_ff,L_cyber_ff_09-17__11_37_53.pcap.TCP_10-0-0-9_41928_212-179-154-223_443.pcap,0,13201,00:33:91:18:8b:50
6284,l_hi_ff,L_cyber_ff_09-07__19_16_39.pcap.TCP_10-0-0-9_40763_212-179-180-103_443.pcap,0,13201,00:33:91:18:8c:50
6285,l_hi_ff,L_hi_ff_linux_ff_alot_of_data2.pcap.TCP_10-0-0-7_48125_104-244-42-200_443.pcap,0,16201,00:3f:49:18:8d:50
6286,l_hi_ff,L_hi_ff_linux_ff_alot_of_data2.pcap.TCP_10-0-0-7_46333_31-13-93-52_443.pcap,0,18201,00:47:19:18:8e:50
6287,l_hi_ff,L_hi_ff_linux_ff_alot_of_data2.pcap.TCP_10-0-0-7_46104_54-192-78-4_443.pcap,0,18201,00:47:19:18:8f:50
6288,l_hi_ff,L_cyber_ff_09-09__19_35_09.pcap.TCP_10-0-0-9_42865_216-58-210-46_443.pcap,0,13201,00:33:91:18:90:50
