class,recall,precision,f1
,0.2,1,0.333333333
,0.75,0.75,0.75
,nan,nan , nan
,1,0.375,0.545454545
,0.66666667,0.75,0.705882353
,0,nan, nan
,0.89473684,0.94444444,0.918918919
,0.66666667,0.75,0.705882353
,0.72727273,0.66666667,0.695652174
,0.84615385,0.91666667,0.88
,1,0.5,0.666666667
,0.9,0.6,0.72
,0.8,0.57142857,0.666666667
,0,nan , nan
,0,0, nan
,0,0, nan
,0.2,1,0.333333333
,0.85,0.89473684,0.871794872
,0.6,0.42857143,0.5
,0.5,0.2,0.285714286
,nan,     nan , nan
,0.5,0.5,0.5
,1,0.5,0.666666667
,0.66666667,0.8,0.727272727
,0.5,0.66666667,0.571428571
,0,0, nan
,0.14285714,1,0.25
,0.8,0.66666667,0.727272727
,0.5,0.25,0.333333333
,1,1,1
,0.90909091,1,0.952380952
,0.5,0.66666667,0.571428571
,0,  nan, nan
,0.53846154,0.63636364,0.583333333
,1,1,1
,0.5,0.33333333,0.4
,0.66666667,0.28571429,0.4
,0.5,0.6,0.545454545
,1,0.83333333,0.909090909
,0.25,0.33333333,0.285714286
,0.5,0.75,0.6
,0.89473684,0.70833333,0.790697674
,0.16666667,0.33333333,0.222222222
,0.25,0.16666667,0.2
,0.75,1,0.857142857
,0.85714286,0.6,0.705882353
,1,0.75,0.857142857
,0.81818182,0.81818182,0.818181818
,0.66666667,0.66666667,0.666666667
,0.85714286,0.85714286,0.857142857
,0.91666667,0.91666667,0.916666667
,nan        ,0, nan
,nan ,                nan , nan
,0.71428571,0.83333333,0.769230769
,0.5,1,0.666666667
,0.6,0.6,0.6
,0.46666667,0.875,0.608695652
,1,1,1
,0,0, nan
,0.75,0.75,0.75
,0.5,0.6,0.545454545
,0.75,1,0.857142857
,0.75,1,0.857142857
,0.625,0.83333333,0.714285714
,1,1,1
,0.83333333,1,0.909090909
,0.6,0.81818182,0.692307692
,1,1,1
,1,1,1
,0,0, nan
,0.66666667,0.66666667,0.666666667
,0.97368421,0.88095238,0.925
,0.6,0.35294118,0.444444444
,1,1,1
,0.86666667,0.92857143,0.896551724
,0.94444444,0.80952381,0.871794872
,1,1,1
,1,0.71428571,0.833333333
,0.66666667,1,0.8
,0.5,1,0.666666667
,0.85714286,0.6,0.705882353
,1,0.66666667,0.8
,1,0.5,0.666666667
,1,0.75,0.857142857
,1,1,1
,1,1,1
,0.5,1,0.666666667
,1,1,1
,1,1,1
,0,0, nan
,1,0.81818182,0.9
,1,1,1
,0.83333333,1,0.909090909
,1,0.72727273,0.842105263
,0,   nan , nan
,0.75,0.85714286,0.8
,0.97058824,1,0.985074627
,0.9,0.75,0.818181818
,0.6,1,0.75
,0.625,0.71428571,0.666666667
,0,      nan ,nan
,1,1,1
,0.92592593,0.96153846,0.943396226
,0.5,1,0.666666667
,0,          nan , nan
,0.71428571,0.625,0.666666667
,0.75,1,0.857142857
,0.71428571,0.625,0.666666667
,1,0.88888889,0.941176471
,0.6,1,0.75
,0,     nan , nan
,0.6,0.75,0.666666667
,0.73333333,0.78571429,0.75862069
,1,0.66666667,0.8
,1,0.83333333,0.909090909
,0.99363057,0.98734177,0.99047619
,0.55555556,1,0.714285714
,0.83333333,1,0.909090909
,0,0, nan
,0.71428571,1,0.833333333
,0.9375,0.9375,0.9375
,0.66666667,0.6,0.631578947
,0.88888889,1,0.941176471
,0.81818182,1,0.9
,0.8,0.66666667,0.727272727
,1,1,1
,1,0.66666667,0.8
,0.88235294,0.75,0.810810811
,0.90909091,0.83333333,0.869565217
,1,0.83333333,0.909090909
,1,0.83333333,0.909090909
,1,0.89473684,0.944444444
,0.75,0.6,0.666666667
,0.85714286,0.85714286,0.857142857
,0.83333333,1,0.909090909
,1,1,1
,1,0.875,0.933333333
,1,1,1
,0.85714286,0.85714286,0.857142857
,1,1,1
