,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('212.179.17.140', 443)",1414,60,1404.6532479414457,0.0,103.39658672046946,10690.85414544356,-11.497149804399028,133.6946201188298,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1241,1351,66,91.0,0.0,165.21685015317496,27296.607574536665,7.443509874301044,53.626933906597905,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,94.0,4520,1414,60,1043.9798672566371,0.0,599.1365112459322,358964.55910794705,-1.0072211066422905,-0.9814686908774166,66.0,66.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1179697.25,1.75,0.82915619758885,4,1130.0,1,0.8313725490196079,0.7019607843137254,0.06666666666666667,0.5490196078431373,1
1,"('212.179.17.140', 443)",1414,60,1405.2721667645333,0.0,100.10355574892816,10020.721873578766,-11.926337963982741,144.08840407177263,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1252,1350,66,85.88099041533546,0.0,152.8447061802462,23361.504207325786,8.080045683263876,63.59330647929998,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,4658,1414,60,1050.6397595534563,0.0,596.4404808634736,355741.2472126516,-1.0374132399650065,-0.9198518228805836,66.0,66.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1223470.0,1.5,0.8660254037844386,4,1164.5,1,0.8313725490196079,0.7019607843137254,0.06666666666666667,0.5490196078431373,2
2,"('212.179.17.140', 443)",1414,60,1406.441627543036,0.0,93.48595479779814,8739.623744455957,-13.063233755838443,172.88729371414448,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1049,1351,66,81.84366062917064,0.0,136.46882113643102,18623.739142367198,9.138762883324402,81.77480380390739,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,4244,1414,60,1079.0374646559849,0.0,581.0921679833525,337668.10769159277,-1.1634059497957654,-0.6432526305673303,66.0,66.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1526478.3333333333,1.6666666666666667,0.9428090415820634,3,1414.6666666666667,1,0.8313725490196079,0.7019607843137254,0.06666666666666667,0.5490196078431373,3
3,"('212.179.17.140', 443)",1414,60,1406.700905101481,0.0,91.1605558248311,8310.246938292148,-13.193749416729437,176.97146248482835,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,3281,1354,66,77.29442243218531,0.0,89.72004205152308,8049.685945727069,13.865142734367266,193.288684664889,66.0,66.0,66.0,66.0,66.0,66.0,66.0,72.0,94.0,10573,1414,60,994.1611652321952,0.0,621.6698139284541,386473.3575498387,-0.8088039395750724,-1.343132883658455,66.0,66.0,94.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,2102253.2,2.8,1.16619037896906,5,2114.6,1,0.8313725490196079,0.7019607843137254,0.06666666666666667,0.5490196078431373,4
4,"('212.179.17.140', 443)",1414,60,1406.763557089654,0.0,90.41330274773055,8174.565313752782,-13.25130361138687,178.48658006113973,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,5094,1353,54,77.84786022771888,0.0,93.6074293144803,8762.350822865426,13.212480741658652,175.72818043852595,66.0,66.0,66.0,66.0,66.0,66.0,66.0,74.40000000000055,94.0,16103,1414,54,986.3762652921815,0.0,624.7353841968331,390294.3002675647,-0.780098294815792,-1.3886953964769746,66.0,66.0,94.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,2647269.5,2.6666666666666665,1.3743685418725535,6,2683.8333333333335,1,0.8313725490196079,0.7019607843137254,0.06666666666666667,0.5490196078431373,5
5,"('212.179.17.140', 443)",1414,60,1409.8382053815308,0.0,66.99280563236861,4488.03600649632,-17.498441428183245,317.6396223420909,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,5017,1354,66,74.48794100059797,0.0,85.22657197696559,7263.568570944897,14.751448157509547,217.9073165706072,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,86.0,22224,1414,60,1108.3869690424765,0.0,562.8363387730408,316784.7442434411,-1.3025248430258405,-0.3000338087374712,66.0,78.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1759485.142857143,2.0,1.1952286093343936,14,1587.4285714285713,1,0.8313725490196079,0.7019607843137254,0.06666666666666667,0.5490196078431373,6
6,"('212.179.154.205', 443)",1414,60,1403.0718127174944,0.0,111.52563242271555,12437.96668728666,-10.593419286791022,113.38884920479914,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1129,1360,66,89.55978742249779,0.0,170.2833781900635,28996.42888782019,7.2927961721498695,51.263689715370084,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,4290,1414,60,1057.3946386946386,0.0,592.7512768396477,351354.0761950327,-1.0666748862690674,-0.8573859251579155,66.0,66.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1134055.75,1.5,0.8660254037844386,4,1072.5,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.803921568627451,7
7,"('212.179.180.110', 443)",1414,66,352.0625,57.080185412465674,454.6581777486797,206714.05859375,1.5176176112907862,0.8619912167289994,66.0,66.0,66.0,66.0,104.5,141.0,284.0,659.0,1090.0,16,1223,66,169.5625,4.447806655516806,276.52463017559575,76465.87109375,3.425379797031861,10.17579901798822,66.0,66.0,66.0,66.0,69.0,78.0,135.0,141.0,200.5,32,1414,66,260.8125,10.378215529539213,387.19055688865916,149916.52734375,2.1596238572147524,3.2730980373322573,66.0,66.0,66.0,66.0,73.0,135.0,141.0,230.20000000000007,755.3000000000003,8346.0,1.0,0.0,1,32.0,1,0.8313725490196079,0.7019607843137254,0.7058823529411765,0.43137254901960786,8
8,"('212.179.154.247', 443)",1414,66,834.952380952381,856.2027811869851,595.5662752445078,354699.1882086168,-0.24219183985571568,-1.7233874271483736,66.0,67.60000000000001,144.0,700.6000000000003,836.5,1414.0,1414.0,1414.0,1414.0,35,599,66,116.31428571428572,0.0,123.63004060007225,15284.386938775511,3.231621423330187,9.503290496496879,66.0,66.0,66.0,66.0,66.0,66.0,76.79999999999998,135.0,147.00000000000003,77,1414,66,508.2987012987013,102.29955307688654,573.1168160187835,328462.8848035082,0.7858228270251855,-1.1895124933265147,66.0,66.0,66.0,66.0,135.0,212.80000000000015,766.0,1414.0,1414.0,39139.0,2.0,0.0,1,77.0,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.9686274509803922,8
9,"('216.58.213.130', 443)",1414,66,372.1063829787234,102.29955307688654,472.9662951439947,223697.11634223635,1.519082260085567,0.6187361923057386,66.0,66.0,66.0,135.0,135.0,167.0,250.19999999999993,569.0000000000003,1399.0,52,1414,66,245.75,0.0,367.8960385656629,135347.4951923077,2.08001471968778,2.928861764482888,66.0,66.0,66.0,66.0,66.0,75.6,135.0,149.00000000000003,966.9999999999998,99,1414,66,305.73737373737373,78.5779175807969,425.76115051760235,181272.55729007244,1.8020468700531393,1.7041468371442248,66.0,66.0,66.0,66.0,119.0,135.0,167.0,489.4,1141.4,15134.0,2.0,1.0,2,49.5,1,0.8470588235294118,0.22745098039215686,0.8352941176470589,0.5098039215686274,8
10,"('212.179.180.116', 443)",1414,66,485.05263157894734,111.19516638792014,510.0117102560862,260111.94459833798,0.781723905037411,-0.9326950370830014,66.0,66.0,66.0,86.20000000000002,141.0,556.5999999999995,758.8,888.8000000000002,1414.0,17,615,66,127.82352941176471,0.0,131.41144873309742,17268.968858131488,2.9843561373913072,8.187294083820838,66.0,66.0,66.0,66.0,66.0,75.6,135.0,139.8,191.40000000000003,36,1414,66,316.3611111111111,14.82602218505602,420.99974615839386,177240.78626543208,1.6371516350900985,1.3330082134895287,66.0,66.0,66.0,66.0,76.0,135.0,151.0,658.0,919.5,11389.0,1.0,0.0,1,36.0,1,0.8313725490196079,0.7019607843137254,0.7058823529411765,0.4549019607843137,8
