,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('173.194.112.113', 443)",1414,66,300.1818181818182,34.099851025628844,427.5879108295781,182831.42148760325,1.852744564994223,1.9019600700278172,66.0,66.0,66.0,66.0,89.0,110.4,126.9,455.20000000000005,1070.8000000000013,20,369,66,118.25,0.0,95.54625843014472,9129.0875,1.8267880061064405,1.7893026970838992,66.0,66.0,66.0,66.0,66.0,69.2,106.39999999999999,126.80000000000004,287.7000000000001,42,1414,66,213.54761904761904,0.0,329.1991149080384,108372.05725623586,2.8087277700218225,6.931609949793637,66.0,66.0,66.0,66.0,66.0,104.0,116.89999999999999,255.60000000000053,467.9999999999999,1281.2857142857142,1.1428571428571428,0.34992710611188266,7,6.0,1,0.6784313725490196,0.7607843137254902,0.4392156862745098,0.44313725490196076,1
1,"('173.194.112.186', 443)",1414,66,319.84,56.33888430321287,429.3585615776166,184348.77440000002,1.770123787384815,1.7523939631303538,66.0,66.0,66.0,66.0,104.0,115.99999999999999,313.79999999999933,499.80000000000007,1061.200000000001,23,357,66,118.52173913043478,0.0,88.12484699473238,7765.988657844993,1.6915388278670005,1.4574507195093238,66.0,66.0,66.0,66.0,66.0,79.99999999999997,112.0,142.40000000000006,272.20000000000005,48,1414,66,223.375,5.930408874022408,331.43756482179265,109850.859375,2.748207831220486,6.768735266337304,66.0,66.0,66.0,66.0,70.0,108.8,121.69999999999999,311.80000000000007,501.70000000000005,1531.7142857142858,1.2857142857142858,0.45175395145262565,7,6.857142857142857,1,0.6784313725490196,0.7607843137254902,0.4392156862745098,0.7294117647058823,1
2,"('74.125.136.156', 443)",1414,66,307.04545454545456,34.099851025628844,446.82348327567973,199651.22520661165,1.8563541524367637,1.7887096506354423,66.0,66.0,66.0,66.0,89.0,110.4,126.9,430.4000000000001,1255.4000000000017,20,381,66,119.3,0.0,97.90663920286511,9585.710000000003,1.831872045741043,1.79700674441957,66.0,66.0,66.0,66.0,66.0,69.2,106.39999999999999,126.80000000000004,295.80000000000007,42,1414,66,217.64285714285714,0.0,343.41803079854594,117935.94387755104,2.8193367553184494,6.796040022265101,66.0,66.0,66.0,66.0,66.0,104.0,116.89999999999999,262.8000000000006,441.2999999999999,1305.857142857143,1.0,0.0,7,6.0,1,0.2901960784313726,0.49019607843137253,0.5333333333333333,0.611764705882353,1
3,"('212.179.154.217', 443)",2114,66,441.6136363636364,59.30408874022408,657.7841665881367,432680.0098140495,1.6111267863462935,1.0397160976742876,66.0,66.0,66.0,66.0,106.0,120.8,199.7999999999999,915.1999999999998,1414.0,34,361,66,123.29411764705883,0.0,98.16538548069983,9636.442906574392,1.589267687848755,0.8487834558573244,66.0,66.0,66.0,66.0,66.0,72.4,112.0,134.60000000000008,319.4,78,2114,66,302.85897435897436,0.0,522.6775915678356,273191.86472715315,2.504641718391213,5.033094439327797,66.0,66.0,66.0,66.0,66.0,112.0,128.3,287.6,1145.8999999999987,2952.875,1.25,0.4330127018922193,8,9.75,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.8509803921568627,1
4,"('104.244.43.7', 443)",4110,60,1698.7955706984667,0.0,732.8241251576602,537031.19841309,0.15814353656653757,-0.04763696553584884,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,2762.0,2762.0,416,511,66,86.5048076923077,0.0,84.49177802490115,7138.86055380917,4.07634969392482,15.043906026878123,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,1003,4110,60,1030.0887337986042,1998.5477905455514,973.7742736868789,948236.3360944086,0.5264774978712522,-0.8900529788739409,66.0,66.0,66.0,66.0,1414.0,1414.0,1414.0,1414.0,2762.0,258294.75,2.75,0.4330127018922193,4,250.75,1,0.40784313725490196,0.9568627450980393,0.16862745098039217,0.027450980392156862,2
5,"('104.244.42.65', 443)",2762,66,530.3508064516129,391.4069856854789,638.1960920711075,407294.25193483353,1.6242344914994016,1.9199099696372173,66.0,66.0,66.0,201.00000000000034,330.0,343.0,366.79999999999995,1342.6000000000026,1414.0,230,1414,66,228.26521739130436,0.0,359.1534903905785,128991.22965973536,2.7045639091255493,5.99308038092879,66.0,66.0,66.0,66.0,66.0,66.0,164.69999999999968,266.0,403.1999999999996,478,2762,66,384.9958158995816,123.79728524521776,544.2098221517381,296164.3305264264,2.122156089744834,4.085172908616787,66.0,66.0,66.0,66.0,149.5,265.0,337.79999999999995,400.8000000000002,1414.0,5257.942857142857,1.3714285714285714,0.7591617288906528,35,13.657142857142857,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.2549019607843137,2
6,"('104.244.42.3', 443)",1752,66,247.125,5.930408874022408,416.132922724218,173166.609375,2.844484096017158,6.724639928051229,66.0,66.0,66.0,66.0,70.0,108.8,155.79999999999998,226.20000000000016,396.8999999999999,27,780,66,121.88888888888889,0.0,141.03935183285586,19892.098765432103,3.7976847318633435,14.655328695180756,66.0,66.0,66.0,66.0,66.0,66.0,79.99999999999997,150.20000000000005,202.40000000000006,51,1752,66,180.8235294117647,0.0,309.7236406282443,95928.73356401383,3.920208524165902,15.208721580689254,66.0,66.0,66.0,66.0,66.0,74.0,119.0,171.0,287.0,1152.75,1.25,0.6614378277661477,8,6.375,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.011764705882352941,2
7,"('104.244.42.72', 443)",1893,66,284.6190476190476,0.0,474.9026442776983,225532.52154195006,2.4723450896854984,4.858032196181176,66.0,66.0,66.0,66.0,66.0,104.0,169.0,264.0,746.0,24,737,66,144.25,0.0,185.58045200577206,34440.104166666664,2.6558491623880367,5.594898270687645,66.0,66.0,66.0,66.0,66.0,66.0,76.99999999999994,134.60000000000008,259.8999999999999,45,1893,66,209.75555555555556,0.0,358.49761539920115,128520.54024691354,3.3142533258112676,10.96288373838895,66.0,66.0,66.0,66.0,66.0,69.19999999999999,108.79999999999998,173.60000000000008,563.0000000000006,1048.7777777777778,1.1111111111111112,0.3142696805273545,9,5.0,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.2823529411764706,2
8,"('162.213.33.49', 443)",1656,66,441.5,5.930408874022408,573.4741929677394,328872.65,1.2720662818692698,-0.052223468655039795,66.0,66.0,66.0,66.0,70.0,186.79999999999984,424.69999999999993,750.8000000000002,1438.2,13,1414,66,350.15384615384613,75.6127131437857,474.6671459120423,225308.89940828405,1.6252554083737119,0.9534760530373205,66.0,66.0,66.0,72.4,117.0,150.59999999999997,226.99999999999986,467.00000000000045,1249.0000000000005,23,1656,66,389.8695652173913,11.860817748044816,521.9072301662538,272387.15689981106,1.4740484339364086,0.5243260630658133,66.0,66.0,66.0,66.0,74.0,150.59999999999997,312.7999999999999,587.4,1414.0,4483.5,1.5,0.5,2,11.5,1,0.6352941176470588,0.8352941176470589,0.12941176470588237,0.19215686274509805,3
9,"('50.18.186.212', 443)",1639,60,390.25,10.378215529539215,545.620919228726,297702.1875,1.440244466196471,0.41657860866668583,66.0,66.0,66.0,66.0,70.0,87.8,244.69999999999987,670.4000000000003,1348.7000000000003,14,482,66,120.64285714285714,0.0,117.54002791928082,13815.658163265312,2.196637482491386,3.67308695916652,66.0,66.0,66.0,66.0,66.0,66.0,66.8,121.20000000000005,254.3000000000001,26,1639,60,245.07692307692307,0.0,403.6145269815403,162904.6863905325,2.5449553869262886,5.3119751148393135,66.0,66.0,66.0,66.0,66.0,66.0,85.5,281.0,621.5,910.2857142857143,1.2857142857142858,0.45175395145262565,7,3.7142857142857144,1,0.19607843137254902,0.07058823529411765,0.7294117647058823,0.8313725490196079,3
10,"('173.194.112.20', 443)",2762,66,661.0,83.0257242363137,927.7008446384303,860628.8571428572,1.5414374713223096,0.8508603470517038,70.8,80.80000000000001,101.19999999999999,113.6,122.0,264.79999999999995,514.9999999999994,980.0000000000006,1785.8000000000006,7,357,66,139.28571428571428,0.0,115.2298501576173,13277.918367346938,1.0507002864204653,-0.7536073869788242,66.0,66.0,66.0,66.0,66.0,70.8,115.19999999999985,238.80000000000015,310.8,14,2762,66,400.14285714285717,37.065055462640046,710.6334053045169,504999.8367346939,2.6408095236571767,5.824984062018869,66.0,66.0,66.0,74.0,91.0,119.2,287.7,358.2,902.5000000000009,5602.0,1.0,0.0,1,14.0,1,0.6784313725490196,0.7607843137254902,0.4392156862745098,0.0784313725490196,4
11,"('173.194.65.154', 443)",2762,66,469.15384615384613,68.19970205125769,743.7149832639926,553111.9763313609,2.296450014980174,4.138994439084141,66.0,69.2,91.99999999999999,107.2,112.0,169.59999999999982,395.1999999999999,459.40000000000003,1168.6000000000006,13,380,66,147.92307692307693,56.33888430321287,111.16686109590916,12358.071005917162,1.183655480542931,-0.24537142618532704,66.0,66.0,66.0,72.4,104.0,113.39999999999999,134.59999999999997,236.6000000000002,343.40000000000003,26,2762,66,308.53846153846155,65.23449761424648,555.4568619107941,308532.325443787,3.52104676616736,12.123060974895807,66.0,66.0,70.0,104.0,110.0,119.0,223.5,360.0,457.5,8022.0,1.0,0.0,1,26.0,1,0.6784313725490196,0.7607843137254902,0.2549019607843137,0.6039215686274509,4
12,"('104.244.43.167', 443)",4127,66,1444.4545454545455,805.0530046485419,950.5682667499825,903580.0297520659,0.33419838249391964,-0.2217800512572321,66.0,340.0,1414.0,1414.0,1414.0,1414.0,1414.0,2762.0,2762.0,48,509,66,97.6875,0.0,93.48867049229369,8740.131510416666,3.2313242066450028,9.820204342115515,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,192.0,103,4127,66,816.8349514563107,11.860817748044816,968.4618181153701,937918.2931473281,1.1150895019747051,0.3573473354737704,66.0,66.0,66.0,66.0,74.0,858.1999999999999,1414.0,1414.0,2762.0,42067.0,2.5,0.5,2,51.5,1,0.40784313725490196,0.9568627450980393,0.16862745098039217,0.6549019607843137,5
13,"('104.244.43.67', 443)",2779,66,1336.0153846153846,1592.3147826750164,995.1576062623323,990338.6613017751,0.16002381042121064,-1.2354890021720808,66.0,74.0,442.5999999999996,1414.0,1414.0,1414.0,1494.9999999999998,2762.0,2762.0,58,535,66,121.72413793103448,0.0,125.50048675595235,15750.372175980972,2.3914255897608863,4.655045969052312,66.0,66.0,66.0,66.0,66.0,66.0,66.0,144.80000000000018,281.0,123,2779,66,763.4227642276422,11.860817748044816,947.7386779899892,898208.6017582125,1.109970131257462,-0.16746990523982141,66.0,66.0,66.0,66.0,74.0,374.6000000000005,1414.0,1414.0,2762.0,93901.0,2.0,0.0,1,123.0,1,0.40784313725490196,0.9568627450980393,0.16862745098039217,0.2627450980392157,5
14,"('104.244.42.65', 443)",2762,66,826.0,404.7504056520293,869.9270084323167,756773.0,0.9379913565712495,-0.1988464607305338,66.0,66.0,71.6,191.20000000000016,339.0,917.7999999999995,1406.3,1423.2,1884.5000000000014,37,1414,66,210.6216216216216,0.0,305.4264498848491,93285.31628926222,2.792593638903454,7.213771924049389,66.0,66.0,66.0,66.0,66.0,91.99999999999994,164.79999999999998,226.00000000000003,460.5999999999998,77,2762,66,530.2987012987013,78.5779175807969,729.7144445040085,532483.1705177937,1.7050377910587093,2.111628738702481,66.0,66.0,66.0,66.0,119.0,234.4,428.7999999999993,1228.0,1432.4,20416.5,3.0,0.0,2,38.5,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.2549019607843137,5
