,id,label
0,1,13101
1,2,16101
2,3,18101
3,4,13101
4,5,16101
5,6,13101
6,7,16101
7,8,18101
8,9,13101
9,10,16101
10,11,18101
11,12,13101
12,13,16101
13,14,18101
14,15,13101
15,16,16101
16,17,13101
17,18,16101
18,19,13101
19,20,16101
20,21,13101
21,22,16101
22,23,13101
23,24,16101
24,25,13101
25,26,16101
26,27,13101
27,28,16101
28,29,13101
29,30,16101
30,31,13101
31,32,16101
32,33,13101
33,34,16101
34,35,13101
35,36,16101
36,37,13101
37,38,16101
38,39,13101
39,40,16101
40,41,18101
41,42,13101
42,43,16101
43,44,13101
44,45,16101
45,46,18101
46,47,12101
47,48,13101
48,49,14101
49,50,16101
50,51,17101
51,52,18101
52,53,12101
53,54,13101
54,55,14101
55,56,16101
56,57,17101
57,58,18101
