,source,target,weight,id
0,"('173.194.112.113', 443)","('212.179.154.217', 443)",3,1
1,"('173.194.112.113', 443)","('74.125.136.156', 443)",7,1
2,"('212.179.154.217', 443)","('74.125.136.156', 443)",3,1
3,"('173.194.112.186', 443)","('212.179.154.217', 443)",5,1
4,"('104.244.42.72', 443)","('104.244.43.7', 443)",2,2
5,"('104.244.42.72', 443)","('104.244.42.65', 443)",5,2
6,"('104.244.43.7', 443)","('104.244.42.65', 443)",3,2
7,"('104.244.42.72', 443)","('104.244.42.3', 443)",8,2
8,"('104.244.42.3', 443)","('104.244.43.7', 443)",1,2
9,"('104.244.42.3', 443)","('104.244.42.65', 443)",5,2
10,"('173.194.112.20', 443)","('173.194.65.154', 443)",1,4
11,"('104.244.43.167', 443)","('104.244.42.65', 443)",1,5
12,"('104.244.42.72', 443)","('104.244.43.67', 443)",1,5
13,"('104.244.42.72', 443)","('104.244.42.65', 443)",1,5
14,"('104.244.43.67', 443)","('104.244.42.65', 443)",1,5
15,"('212.179.154.251', 443)","('212.179.154.237', 443)",1,6
16,"('212.179.154.251', 443)","('74.125.136.155', 443)",1,6
17,"('212.179.154.237', 443)","('74.125.136.155', 443)",7,6
18,"('212.179.154.251', 443)","('173.194.113.122', 443)",7,6
19,"('104.244.42.1', 443)","('192.229.233.25', 443)",8,7
20,"('104.244.42.1', 443)","('104.244.42.136', 443)",5,7
21,"('192.229.233.25', 443)","('104.244.42.136', 443)",7,7
22,"('104.244.42.1', 443)","('104.244.42.67', 443)",2,7
23,"('192.229.233.25', 443)","('104.244.42.67', 443)",2,7
24,"('104.244.42.136', 443)","('104.244.42.67', 443)",3,7
25,"('212.179.180.88', 443)","('173.194.116.179', 443)",1,9
26,"('212.179.180.88', 443)","('173.194.65.156', 443)",1,9
27,"('173.194.116.179', 443)","('173.194.65.156', 443)",7,9
28,"('212.179.180.88', 443)","('173.194.116.154', 443)",7,9
29,"('104.244.42.1', 443)","('104.244.43.231', 443)",4,10
30,"('104.244.42.1', 443)","('104.244.42.136', 443)",5,10
31,"('104.244.43.231', 443)","('104.244.42.136', 443)",2,10
32,"('104.244.42.1', 443)","('104.244.42.195', 443)",4,10
33,"('104.244.43.231', 443)","('104.244.42.195', 443)",1,10
34,"('104.244.42.136', 443)","('104.244.42.195', 443)",8,10
35,"('173.194.112.66', 443)","('212.179.180.117', 443)",1,12
36,"('173.194.112.66', 443)","('74.125.136.155', 443)",1,12
37,"('212.179.180.117', 443)","('74.125.136.155', 443)",7,12
38,"('173.194.112.66', 443)","('173.194.116.217', 443)",7,12
39,"('104.244.42.72', 443)","('192.229.233.25', 443)",8,13
40,"('104.244.42.72', 443)","('104.244.42.193', 443)",6,13
41,"('192.229.233.25', 443)","('104.244.42.193', 443)",8,13
42,"('104.244.42.72', 443)","('104.244.42.195', 443)",4,13
43,"('192.229.233.25', 443)","('104.244.42.195', 443)",4,13
44,"('104.244.42.195', 443)","('104.244.42.193', 443)",3,13
45,"('212.179.154.244', 443)","('212.179.154.210', 443)",5,15
46,"('212.179.154.244', 443)","('64.233.167.157', 443)",5,15
47,"('212.179.154.210', 443)","('64.233.167.157', 443)",5,15
48,"('216.58.209.226', 443)","('212.179.154.244', 443)",1,15
49,"('199.59.149.198', 443)","('104.244.43.71', 443)",3,16
50,"('199.59.149.200', 443)","('199.59.149.198', 443)",4,16
51,"('199.59.149.200', 443)","('192.229.233.25', 443)",5,16
52,"('199.59.149.200', 443)","('104.244.43.71', 443)",2,16
53,"('199.59.149.198', 443)","('192.229.233.25', 443)",3,16
54,"('192.229.233.25', 443)","('104.244.43.71', 443)",2,16
55,"('74.125.133.156', 443)","('212.179.154.217', 443)",7,17
56,"('74.125.133.156', 443)","('212.179.180.88', 443)",7,17
