,id,label
0,1,13201
1,2,16201
2,3,18201
3,4,13201
4,5,16201
5,6,18201
6,7,13201
7,8,16201
8,9,18201
9,10,13201
10,11,16201
11,12,18201
12,13,13201
13,14,16201
14,15,18201
15,16,13201
16,17,16201
17,18,18201
18,19,13201
19,20,16201
20,21,18201
21,22,13201
22,23,16201
23,24,13201
24,25,16201
25,26,13201
26,27,16201
27,28,18201
28,29,13201
29,30,16201
30,31,13201
31,32,16201
32,33,13201
33,34,16201
34,35,18201
35,36,13201
36,37,16201
37,38,13201
38,39,16201
39,40,18201
40,41,13201
41,42,16201
42,43,13201
43,44,16201
44,45,18201
45,46,13201
46,47,16201
47,48,18201
48,49,13201
49,50,16201
50,51,18201
51,52,13201
52,53,16201
53,54,18201
54,55,12201
55,56,13201
56,57,17201
57,58,18201
58,59,12201
59,60,13201
60,61,16201
61,62,17201
62,63,18201
