,source,target,weight,id
0,"('104.244.43.167', 443)","('104.244.42.8', 443)",2,2
1,"('104.244.43.167', 443)","('104.244.42.65', 443)",3,2
2,"('104.244.42.8', 443)","('104.244.42.65', 443)",5,2
3,"('104.244.43.167', 443)","('192.229.233.25', 443)",2,2
4,"('192.229.233.25', 443)","('104.244.42.65', 443)",13,2
5,"('104.244.42.65', 443)","('104.244.43.71', 443)",1,2
6,"('104.244.42.65', 443)","('104.244.42.131', 443)",4,2
7,"('104.244.43.71', 443)","('104.244.43.167', 443)",2,2
8,"('104.244.43.71', 443)","('192.229.233.25', 443)",1,2
9,"('104.244.43.71', 443)","('104.244.42.8', 443)",1,2
10,"('104.244.43.71', 443)","('104.244.42.131', 443)",1,2
11,"('104.244.43.167', 443)","('104.244.42.131', 443)",1,2
12,"('192.229.233.25', 443)","('104.244.42.8', 443)",2,2
13,"('192.229.233.25', 443)","('104.244.42.131', 443)",2,2
14,"('104.244.42.8', 443)","('104.244.42.131', 443)",5,2
15,"('104.244.42.200', 443)","('104.244.43.103', 443)",2,5
16,"('104.244.42.200', 443)","('104.244.42.193', 443)",7,5
17,"('104.244.43.103', 443)","('104.244.42.193', 443)",4,5
18,"('104.244.43.167', 443)","('104.244.43.103', 443)",2,5
19,"('104.244.43.167', 443)","('104.244.42.193', 443)",1,5
20,"('104.244.43.135', 443)","('104.244.42.195', 443)",1,5
21,"('104.244.43.135', 443)","('104.244.43.103', 443)",2,5
22,"('104.244.43.135', 443)","('104.244.42.200', 443)",1,5
23,"('104.244.43.135', 443)","('104.244.42.193', 443)",2,5
24,"('104.244.42.195', 443)","('104.244.43.103', 443)",1,5
25,"('104.244.42.195', 443)","('104.244.42.200', 443)",5,5
26,"('104.244.42.195', 443)","('104.244.42.193', 443)",5,5
27,"('104.244.43.167', 443)","('104.244.42.72', 443)",2,8
28,"('104.244.43.167', 443)","('104.244.42.193', 443)",3,8
29,"('104.244.42.72', 443)","('104.244.42.193', 443)",5,8
30,"('104.244.43.167', 443)","('104.244.42.67', 443)",2,8
31,"('104.244.42.72', 443)","('104.244.42.67', 443)",5,8
32,"('104.244.42.67', 443)","('104.244.42.193', 443)",5,8
33,"('104.244.42.1', 443)","('104.244.42.72', 443)",4,11
34,"('104.244.42.1', 443)","('192.229.233.25', 443)",15,11
35,"('104.244.42.72', 443)","('192.229.233.25', 443)",4,11
36,"('104.244.43.7', 443)","('104.244.42.195', 443)",1,11
37,"('104.244.43.7', 443)","('192.229.233.25', 443)",2,11
38,"('104.244.43.7', 443)","('104.244.42.1', 443)",2,11
39,"('104.244.43.7', 443)","('104.244.42.72', 443)",1,11
40,"('104.244.42.195', 443)","('192.229.233.25', 443)",3,11
