,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('64.233.167.157', 443)",1414,60,327.3,38.54765768114565,471.13608437478024,221969.21000000005,1.7357715350193916,1.3033565940654936,60.0,64.8,66.0,68.4,86.0,96.0,216.0999999999998,421.20000000000005,1414.0,18,364,54,110.05555555555556,9.636914420286413,97.46821260870543,9500.052469135804,1.7757576705053957,1.475446140461293,54.0,54.0,54.1,55.0,60.5,84.8,91.6,97.80000000000001,290.50000000000006,38,1414,54,224.39473684210526,32.61724880712324,364.8178016398759,133092.02839335182,2.691935734800391,5.957583090920982,54.0,55.0,60.0,66.0,77.0,88.8,98.69999999999999,307.00000000000006,424.3000000000001,2131.75,1.0,0.0,4,9.5,1,0.25098039215686274,0.9137254901960784,0.6549019607843137,0.615686274509804,1
1,"('216.58.209.226', 443)",1414,60,309.6,41.51286211815685,433.9405489234672,188304.40000000002,1.8848016119375173,2.1027339992933856,60.0,60.0,66.0,68.4,88.0,95.99999999999999,304.5999999999995,422.80000000000007,1090.0000000000011,21,329,54,108.0952380952381,17.791226622067224,86.64976287270319,7508.181405895693,1.6647517551740147,1.2223002203282096,54.0,54.0,54.0,55.0,66.0,88.0,92.0,99.0,271.0,46,1414,54,217.6086956521739,39.28895879039845,340.35464101950487,115841.28166351603,2.818803655179707,7.028440189600795,54.0,55.0,60.0,66.0,84.0,92.0,100.5,313.0,425.5,2502.5,1.0,0.0,4,11.5,1,0.8470588235294118,0.22745098039215686,0.8196078431372549,0.8862745098039215,1
2,"('74.125.140.100', 443)",1414,60,714.3333333333334,772.4357558414187,558.1475312734677,311528.6666666667,-0.03385589511029997,-1.7049670675586877,60.0,63.6,159.59999999999997,418.60000000000014,893.0,969.8,1135.4,1305.4,1414.0,11,1414,54,289.54545454545456,17.791226622067224,393.62496309335864,154940.61157024794,2.035339811269698,3.1406687522518038,54.0,54.0,54.0,54.0,66.0,180.0,235.0,496.0,524.0,20,1414,54,480.7,227.5794405406099,519.6780830475727,270065.30999999994,0.833002763019017,-0.9484689550221734,54.0,54.0,60.0,66.0,207.5,378.4000000000001,634.6999999999996,1037.8000000000002,1414.0,9614.0,2.0,0.0,1,20.0,1,0.2901960784313726,0.49019607843137253,0.5490196078431373,0.39215686274509803,1
3,"('212.179.154.210', 443)",1414,60,315.2,8.895613311033612,435.23954324027136,189433.46000000002,1.6155890101627113,1.2714080015004496,60.0,60.0,60.0,66.0,66.0,85.6,173.39999999999975,661.2,856.9000000000009,17,353,54,112.17647058823529,17.791226622067224,96.84629137065154,9379.204152249134,1.6859728248927948,1.1553715364259718,54.0,54.0,54.800000000000004,55.0,66.0,86.4,92.8,98.4,290.6,37,1414,54,221.9189189189189,17.791226622067224,341.9688920875524,116942.72315558804,2.4949069624338476,5.434255137361253,54.0,56.0,60.0,62.400000000000006,66.0,86.39999999999999,96.6,316.20000000000005,681.3999999999999,2052.75,1.0,0.0,4,9.25,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.8235294117647058,1
4,"('216.58.209.237', 443)",1019,60,267.875,4.447806655516806,339.07500552975,114971.859375,1.373920797413447,0.2686758197819046,60.0,60.0,60.0,60.0,63.0,89.40000000000002,171.29999999999993,454.2000000000003,750.1999999999999,10,619,54,178.5,8.895613311033612,188.39546172877945,35492.85,1.333389616507024,0.3680331678777211,54.0,54.0,54.0,54.0,60.0,91.19999999999996,175.2,310.0,438.0999999999999,18,1019,54,218.22222222222223,13.343419966550417,269.7946864552862,72789.17283950618,1.733342729296219,1.9917886940567842,54.0,54.0,60.0,60.0,63.0,78.59999999999995,177.5999999999999,364.00000000000017,623.8,1964.0,1.5,0.5,2,9.0,1,0.8470588235294118,0.22745098039215686,0.8196078431372549,0.9294117647058824,1
5,"('212.179.154.237', 443)",1414,60,474.075,63.75189539574088,556.2357588064615,309398.219375,0.9060253024534571,-0.9656857518234143,60.0,60.0,60.0,66.0,103.0,221.79999999999993,742.0,1414.0,1414.0,29,341,54,118.34482758620689,17.791226622067224,101.05862957302148,10212.846611177172,1.4179710024702998,0.22882730395157358,54.0,54.0,54.0,55.0,66.0,91.2,92.0,166.60000000000036,325.8,69,1414,54,324.5652173913044,44.478066555168056,463.1259095165508,214485.6080655324,1.681717359074417,1.19060703811029,54.0,58.00000000000001,60.0,66.0,84.0,98.39999999999999,259.5999999999999,374.00000000000045,1414.0,4479.0,1.4,0.8000000000000002,5,13.8,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.9294117647058824,1
6,"('74.125.71.138', 443)",1414,60,671.8888888888889,676.0666116385545,556.9501163468461,310193.43209876545,0.18521644446255456,-1.672621087941599,60.0,63.6,159.59999999999997,343.20000000000005,516.0,891.1999999999998,1133.1999999999998,1304.8000000000002,1414.0,9,883,54,232.55555555555554,17.791226622067224,270.7529054368007,73307.13580246913,1.509849118171102,0.9289161327436135,54.0,54.0,54.0,56.4,66.0,157.2,212.99999999999997,346.2000000000001,587.0000000000001,18,1414,54,452.22222222222223,227.5794405406099,489.90175381913235,240003.72839506177,0.927357540567377,-0.6883827899617452,54.0,56.4,60.599999999999994,66.0,207.5,342.59999999999985,515.7,944.2,1286.6000000000001,8140.0,1.0,0.0,1,18.0,1,0.2901960784313726,0.49019607843137253,0.2784313725490196,0.5411764705882353,1
7,"('191.232.139.254', 443)",1414,60,593.0,370.6505546264005,577.2627218173715,333232.25,0.46314497360019485,-1.5886152983074044,60.0,62.400000000000006,75.5,142.00000000000003,310.0,589.2000000000002,1044.8999999999996,1292.4,1414.0,11,1227,54,245.8181818181818,0.0,346.68005112962544,120187.0578512397,2.030926771686988,2.9610461619476895,54.0,54.0,54.0,54.0,54.0,66.0,248.0,268.0,571.0,19,1414,54,392.0,17.791226622067224,489.1552331369492,239272.84210526315,1.214999778441183,-0.18367269986363866,54.0,54.0,56.39999999999999,61.199999999999996,66.0,230.5999999999999,382.59999999999997,786.6000000000001,1264.3999999999999,3724.0,1.5,0.5,2,9.5,1,0.7490196078431373,0.9098039215686274,0.5450980392156862,0.996078431372549,2
8,"('134.170.115.62', 443)",1414,60,645.7777777777778,639.0015561759144,584.8165482112561,342010.3950617284,0.35276551644045484,-1.6160551089825985,60.0,63.6,97.6,214.20000000000005,491.0,696.5999999999999,1147.6,1414.0,1414.0,11,923,54,229.36363636363637,0.0,275.0065363610878,75628.59504132232,1.475807285024298,0.9771880090787457,54.0,54.0,54.0,54.0,54.0,66.0,243.0,412.0,555.0,20,1414,54,416.75,76.3540142530385,488.27972259761106,238417.0875,1.1405989742493379,-0.1692249348410817,54.0,54.0,58.2,63.60000000000001,105.5,310.6000000000001,510.19999999999993,783.0000000000002,1414.0,8335.0,2.0,0.0,1,20.0,1,0.5254901960784314,0.6666666666666666,0.45098039215686275,0.24313725490196078,2
9,"('104.244.43.167', 443)",1414,60,1338.1500765696785,0.0,289.20888367382383,83641.77839585938,-3.9057115860284037,13.78361857807354,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,385,571,54,74.8935064935065,0.0,85.50362085089492,7310.869178613593,4.371527696327604,17.560697805443514,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,66.0,1038,1414,54,869.6011560693642,0.0,653.9798383570161,427689.62897746894,-0.4017607797458872,-1.8109112541801284,54.0,54.0,60.0,508.6,1414.0,1414.0,1414.0,1414.0,1414.0,150441.0,2.6666666666666665,1.247219128924647,6,173.0,1,0.40784313725490196,0.9568627450980393,0.16862745098039217,0.6549019607843137,3
