,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('212.179.154.244', 443)",1414,60,568.09375,263.16189378474434,583.6612009213371,340660.3974609375,0.6203190718952661,-1.4615027857984957,60.0,60.0,91.0,139.0,237.5,343.6,1102.4999999999995,1414.0,1414.0,24,827,54,186.75,0.0,255.71114074283116,65388.1875,1.7760927268710076,1.491945036548814,54.0,54.0,54.0,54.0,54.0,54.0,73.29999999999984,230.00000000000014,702.1999999999998,56,1414,54,404.6607142857143,78.5779175807969,508.2326266015858,258300.40274234695,1.206531210595914,-0.21532503239580159,54.0,54.0,60.0,60.0,107.0,204.0,343.0,811.0,1414.0,7553.666666666667,1.6666666666666667,0.9428090415820634,3,18.666666666666668,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.9568627450980393,1
1,"('65.55.163.222', 443)",1414,60,645.7777777777778,639.0015561759144,584.8165482112561,342010.3950617284,0.35276551644045484,-1.6160551089825985,60.0,63.6,97.6,214.20000000000005,491.0,696.5999999999999,1147.6,1414.0,1414.0,10,923,54,246.9,8.895613311033612,282.50431855106217,79808.69,1.3349878013163783,0.5591665521975497,54.0,54.0,54.0,54.0,60.0,136.7999999999999,293.7,440.6,591.7999999999998,19,1414,54,435.8421052631579,134.91680188400977,493.6346681459558,243675.18559556792,1.0667777440132056,-0.3368086873647176,54.0,54.0,60.0,66.0,145.0,378.1999999999998,529.4,818.0,1414.0,8281.0,1.0,0.0,1,19.0,1,0.2549019607843137,0.21568627450980393,0.6392156862745098,0.8705882352941177,2
2,"('92.122.141.199', 443)",1414,60,868.325,0.0,603.7724483404322,364541.16937499994,-0.2779792635491225,-1.8163470285773258,66.0,70.0,368.0,381.0,1414.0,1414.0,1414.0,1414.0,1414.0,36,843,54,149.08333333333334,0.0,211.33995454927324,44664.57638888888,2.543153572630781,5.271719362171076,54.0,54.0,54.0,54.0,54.0,54.0,66.0,236.0,244.0,76,1414,54,527.6315789473684,269.83360376801954,584.7987472560485,341989.5747922437,0.7318223401326601,-1.3059530056765232,54.0,54.0,54.0,66.0,236.0,368.0,843.0,1414.0,1414.0,6683.333333333333,1.0,0.0,6,12.666666666666666,1,0.3607843137254902,0.47843137254901963,0.5529411764705883,0.7803921568627451,2
3,"('131.253.34.240', 443)",1414,60,633.0,649.3797717054537,550.1821289355008,302700.375,0.3571029624812184,-1.6231019543287535,66.0,66.0,161.0,161.0,504.0,504.0,1211.0,1211.0,1414.0,30,2091,54,258.8333333333333,0.0,445.6527110754392,198606.33888888886,2.801087169657812,7.583885549830049,54.0,54.0,54.0,54.0,54.0,66.0,243.0,268.0,799.8000000000005,46,2091,54,388.9782608695652,17.791226622067224,516.3052892439929,266571.15170132316,1.5439478123104375,1.2832594134420727,54.0,54.0,54.0,66.0,66.0,243.0,268.0,763.0,1211.0,5964.333333333333,2.0,0.0,3,15.333333333333334,1,0.5137254901960784,0.9921568627450981,0.13333333333333333,0.9411764705882353,2
4,"('131.253.61.82', 443)",1414,60,902.3529411764706,0.0,629.2454810584863,395949.8754325259,-0.4827344453366007,-1.691789802283981,60.0,62.8,142.0,1004.2000000000003,1414.0,1414.0,1414.0,1414.0,1414.0,12,2619,54,347.6666666666667,8.895613311033612,698.1828000045707,487459.2222222223,2.825077856269865,6.352882709718683,54.0,54.0,54.0,54.0,60.0,109.79999999999997,204.79999999999993,261.00000000000006,497.50000000000006,29,2619,54,672.8275862068965,265.38579711250276,713.0557394165363,508448.48751486326,0.7813264478898283,-0.4267847833280962,54.0,57.6,60.8,80.60000000000008,233.0,689.4000000000001,1414.0,1414.0,1414.0,19512.0,2.0,0.0,1,29.0,1,0.5137254901960784,0.9921568627450981,0.23921568627450981,0.3215686274509804,2
5,"('111.221.29.254', 443)",1414,60,515.1,287.6248303900868,543.1186702738178,294977.89,0.7743172988516046,-1.1416960901518936,60.0,60.0,64.19999999999999,123.0,254.0,391.79999999999995,654.3,1170.8,1414.0,13,1227,54,346.3076923076923,17.791226622067224,416.87876574064524,173787.90532544377,1.2906158963211862,0.20499895211783148,54.0,54.0,54.0,54.0,66.0,252.0,389.1999999999996,571.0,1095.8000000000004,23,1414,54,419.69565217391306,158.63843738009942,483.1984410771182,233480.7334593573,1.0815720108164415,-0.42606916502062964,54.0,54.0,60.0,64.80000000000001,161.0,283.79999999999995,503.79999999999984,894.4000000000008,1227.0,3217.6666666666665,2.3333333333333335,1.247219128924647,3,7.666666666666667,1,0.43529411764705883,0.8666666666666667,0.11372549019607843,0.996078431372549,2
6,"('191.234.72.188', 443)",1414,60,611.75,573.0257574524152,566.9150619801876,321392.6875,0.33470017943924063,-1.58394416735491,60.0,62.400000000000006,73.9,129.20000000000002,446.5,795.8000000000001,963.0999999999999,1243.2000000000003,1414.0,9,923,54,268.3333333333333,17.791226622067224,289.9697302210085,84082.44444444444,1.1822377193021372,0.15871740945342738,54.0,54.0,54.0,56.4,66.0,207.59999999999997,344.3999999999999,469.20000000000005,628.6,17,1414,54,429.94117647058823,134.91680188400977,474.4887614844913,225139.5847750865,0.9872323873371519,-0.44500543713340246,54.0,55.2,60.0,66.0,145.0,344.3999999999999,593.5999999999999,888.0000000000001,1157.8000000000002,7309.0,2.0,0.0,1,17.0,1,0.7490196078431373,0.9176470588235294,0.2823529411764706,0.7372549019607844,2
7,"('191.234.72.186', 443)",1414,60,611.75,573.0257574524152,566.9150619801876,321392.6875,0.33470017943924063,-1.58394416735491,60.0,62.400000000000006,73.9,129.20000000000002,446.5,795.8000000000001,963.0999999999999,1243.2000000000003,1414.0,9,923,54,268.3333333333333,17.791226622067224,289.9697302210085,84082.44444444444,1.1822377193021372,0.15871740945342738,54.0,54.0,54.0,56.4,66.0,207.59999999999997,344.3999999999999,469.20000000000005,628.6,17,1414,54,429.94117647058823,134.91680188400977,474.4887614844913,225139.5847750865,0.9872323873371519,-0.44500543713340246,54.0,55.2,60.0,66.0,145.0,344.3999999999999,593.5999999999999,888.0000000000001,1157.8000000000002,7309.0,2.0,0.0,1,17.0,1,0.7490196078431373,0.9176470588235294,0.2823529411764706,0.7294117647058823,2
8,"('68.232.34.200', 443)",1414,60,722.921052631579,520.3933786954663,579.8360649255665,336209.86218836566,0.16358586512555948,-1.756983442799479,60.0,66.0,315.0,320.0,411.0,974.0,1414.0,1414.0,1414.0,158,475,54,139.0126582278481,0.0,152.3869569546418,23221.784649895853,1.49165677890503,0.47017207090875734,54.0,54.0,54.0,54.0,54.0,54.0,66.0,204.0,443.0,310,1414,54,425.31612903225806,17.791226622067224,511.75407091169586,261892.22909469306,1.1662490902759772,-0.2870231646898862,54.0,54.0,54.0,60.0,66.0,320.0,443.0,974.0,1414.0,9417.714285714286,1.2142857142857142,0.4103259033241448,14,22.142857142857142,1,0.26666666666666666,0.9098039215686274,0.13333333333333333,0.7843137254901961,2
9,"('92.122.132.99', 443)",1414,60,724.8181818181819,846.5658667666987,555.2013260040849,308248.51239669416,0.03467332948703092,-1.6316562439280964,60.0,66.0,237.5999999999999,352.0,843.0,972.0,1148.7999999999993,1414.0,1414.0,44,683,54,139.5,0.0,164.82890578359786,27168.56818181818,2.3967258732921164,5.133397031473011,54.0,54.0,54.0,54.0,54.0,63.60000000000001,82.89999999999964,235.0,236.0,77,1414,54,390.35064935064935,17.791226622067224,481.1785522266709,231532.79912295507,1.2257987054258273,-0.04221749184896195,54.0,54.0,54.0,62.40000000000001,66.0,235.6,352.0,843.0,1414.0,5009.5,1.0,0.0,6,12.833333333333334,1,0.3607843137254902,0.47843137254901963,0.5176470588235295,0.38823529411764707,2
