,source,target,weight,id
0,"('92.122.141.199', 443)","('92.122.132.99', 443)",6,2
1,"('131.253.61.82', 443)","('111.221.29.254', 443)",1,2
2,"('199.59.149.230', 443)","('104.244.43.167', 443)",8,3
3,"('199.59.149.230', 443)","('104.244.43.103', 443)",6,3
4,"('157.55.133.204', 443)","('134.170.58.190', 443)",1,5
5,"('92.122.141.199', 443)","('92.122.132.99', 443)",4,8
6,"('199.59.149.230', 443)","('192.229.233.25', 443)",291,9
7,"('92.122.141.199', 443)","('92.122.132.99', 443)",2,11
8,"('65.55.163.222', 443)","('131.253.61.68', 443)",2,11
9,"('192.229.233.25', 443)","('199.59.148.82', 443)",141,12
10,"('92.122.141.199', 443)","('92.122.132.99', 443)",3,15
11,"('191.234.72.186', 443)","('92.122.141.199', 443)",1,15
12,"('191.234.72.186', 443)","('134.170.30.204', 443)",1,15
13,"('92.122.141.199', 443)","('134.170.30.204', 443)",1,15
14,"('157.55.133.204', 443)","('65.55.242.254', 443)",1,15
15,"('157.55.133.204', 443)","('157.56.96.123', 443)",1,15
16,"('65.55.242.254', 443)","('157.56.96.123', 443)",2,15
17,"('111.221.29.254', 443)","('131.253.61.84', 443)",1,15
18,"('199.59.148.10', 443)","('104.244.43.7', 443)",7,16
19,"('199.59.148.10', 443)","('192.229.233.25', 443)",33,16
20,"('104.79.219.231', 443)","('92.122.132.99', 443)",1,18
21,"('104.79.219.231', 443)","('157.56.96.123', 443)",1,18
22,"('199.59.149.230', 443)","('192.229.233.25', 443)",187,19
23,"('104.79.219.231', 443)","('92.122.132.99', 443)",2,21
24,"('23.51.201.8', 443)","('184.30.218.167', 443)",2,21
25,"('199.59.149.198', 443)","('104.244.43.103', 443)",7,22
26,"('199.59.149.198', 443)","('192.229.233.25', 443)",126,22
27,"('104.244.43.103', 443)","('192.229.233.25', 443)",1,22
28,"('104.244.43.7', 443)","('104.244.42.193', 443)",6,25
29,"('192.229.233.25', 443)","('104.244.43.7', 443)",2,25
30,"('192.229.233.25', 443)","('104.244.42.131', 443)",2,25
31,"('192.229.233.25', 443)","('104.244.42.193', 443)",26,25
32,"('104.244.43.7', 443)","('104.244.42.131', 443)",3,25
33,"('104.244.42.131', 443)","('104.244.42.193', 443)",3,25
34,"('104.244.43.7', 443)","('104.244.43.71', 443)",6,25
35,"('104.244.42.193', 443)","('104.244.43.71', 443)",3,25
36,"('104.244.43.71', 443)","('192.229.233.25', 443)",1,25
37,"('104.244.43.71', 443)","('104.244.42.131', 443)",2,25
38,"('104.244.43.71', 443)","('104.244.42.193', 443)",7,28
39,"('104.244.43.7', 443)","('104.244.43.71', 443)",7,28
40,"('104.244.43.7', 443)","('104.244.42.193', 443)",11,28
41,"('192.229.233.25', 443)","('104.244.42.193', 443)",60,28
42,"('92.122.141.231', 443)","('92.122.132.99', 443)",2,30
43,"('65.55.138.158', 443)","('157.56.77.139', 443)",1,30
44,"('65.55.138.158', 443)","('134.170.115.62', 443)",2,30
45,"('157.56.77.139', 443)","('134.170.115.62', 443)",1,30
46,"('104.244.43.71', 443)","('104.244.42.129', 443)",4,31
47,"('104.244.43.71', 443)","('104.244.43.135', 443)",3,31
48,"('104.244.42.129', 443)","('104.244.43.135', 443)",4,31
49,"('104.244.42.129', 443)","('104.244.42.193', 443)",118,31
50,"('104.244.42.129', 443)","('104.244.42.65', 443)",87,31
51,"('104.244.42.193', 443)","('104.244.42.65', 443)",80,31
52,"('104.244.42.1', 443)","('104.244.42.129', 443)",79,31
53,"('104.244.42.1', 443)","('192.229.233.25', 443)",23,31
54,"('104.244.42.129', 443)","('192.229.233.25', 443)",6,31
55,"('192.229.233.25', 443)","('104.244.42.193', 443)",68,31
56,"('104.244.42.1', 443)","('104.244.42.193', 443)",58,31
57,"('192.229.233.25', 443)","('104.244.42.65', 443)",25,31
58,"('104.244.42.1', 443)","('104.244.42.65', 443)",16,31
59,"('191.234.72.186', 443)","('134.170.58.190', 443)",1,33
60,"('104.244.43.103', 443)","('104.244.42.129', 443)",1,34
61,"('104.244.43.103', 443)","('192.229.233.25', 443)",1,34
62,"('104.244.42.129', 443)","('192.229.233.25', 443)",2,34
63,"('104.244.43.39', 443)","('104.244.42.65', 443)",4,34
64,"('104.244.42.65', 443)","('104.244.42.193', 443)",42,34
65,"('192.229.233.25', 443)","('104.244.42.193', 443)",9,34
66,"('192.229.233.25', 443)","('104.244.42.65', 443)",8,34
67,"('157.55.133.204', 443)","('64.4.27.50', 443)",1,36
68,"('191.234.72.186', 443)","('66.119.144.190', 443)",1,36
69,"('104.244.43.135', 443)","('104.244.43.71', 443)",6,38
70,"('104.244.43.135', 443)","('104.244.42.65', 443)",3,38
71,"('104.244.43.71', 443)","('104.244.42.65', 443)",3,38
72,"('104.244.42.1', 443)","('104.244.42.65', 443)",37,38
73,"('104.244.42.129', 443)","('104.244.42.65', 443)",14,38
74,"('104.79.219.231', 443)","('92.122.132.99', 443)",2,39
75,"('157.55.240.220', 443)","('134.170.58.190', 443)",1,39
76,"('192.229.233.25', 443)","('104.244.42.65', 443)",1,41
77,"('104.244.42.1', 443)","('104.244.42.65', 443)",270,41
78,"('104.244.42.193', 443)","('104.244.42.65', 443)",438,41
79,"('104.244.42.129', 443)","('104.244.42.193', 443)",172,41
80,"('104.244.42.65', 443)","('104.244.42.129', 443)",316,41
81,"('104.244.42.1', 443)","('104.244.42.193', 443)",179,41
82,"('104.244.42.1', 443)","('104.244.42.129', 443)",315,41
83,"('104.244.42.1', 443)","('104.244.43.103', 443)",7,41
84,"('104.244.42.65', 443)","('104.244.43.167', 443)",2,41
