,source,target,weight,id
0,"('212.179.154.237', 443)","('64.233.184.154', 443)",7,1
1,"('212.179.154.237', 443)","('212.179.180.96', 443)",1,1
2,"('64.233.184.154', 443)","('212.179.180.96', 443)",1,1
3,"('212.179.180.96', 443)","('216.58.208.66', 443)",7,1
4,"('104.244.42.8', 443)","('104.244.43.7', 443)",2,2
5,"('104.244.42.8', 443)","('104.244.42.65', 443)",5,2
6,"('104.244.43.7', 443)","('104.244.42.65', 443)",3,2
7,"('104.244.43.7', 443)","('104.244.42.67', 443)",1,2
8,"('104.244.43.7', 443)","('192.229.233.25', 443)",1,2
9,"('104.244.42.67', 443)","('192.229.233.25', 443)",5,2
10,"('104.244.42.67', 443)","('104.244.42.8', 443)",4,2
11,"('104.244.42.67', 443)","('104.244.42.65', 443)",4,2
12,"('192.229.233.25', 443)","('104.244.42.8', 443)",4,2
13,"('192.229.233.25', 443)","('104.244.42.65', 443)",5,2
14,"('212.179.154.210', 443)","('64.233.167.157', 443)",5,4
15,"('212.179.154.210', 443)","('212.179.154.216', 443)",1,4
16,"('64.233.167.157', 443)","('212.179.154.216', 443)",1,4
17,"('216.58.210.34', 443)","('212.179.154.216', 443)",5,4
18,"('104.244.43.231', 443)","('104.244.42.8', 443)",2,5
19,"('104.244.43.231', 443)","('104.244.42.193', 443)",3,5
20,"('104.244.42.8', 443)","('104.244.42.193', 443)",4,5
21,"('104.244.42.195', 443)","('192.229.233.25', 443)",5,5
22,"('104.244.42.195', 443)","('104.244.42.8', 443)",4,5
23,"('104.244.42.195', 443)","('104.244.42.193', 443)",3,5
24,"('104.244.42.195', 443)","('104.244.43.231', 443)",1,5
25,"('192.229.233.25', 443)","('104.244.42.8', 443)",3,5
26,"('192.229.233.25', 443)","('104.244.42.193', 443)",4,5
27,"('192.229.233.25', 443)","('104.244.43.231', 443)",1,5
28,"('212.179.154.210', 443)","('173.194.67.155', 443)",1,7
29,"('104.244.42.129', 443)","('192.229.233.25', 443)",3,8
30,"('104.244.42.129', 443)","('104.244.43.71', 443)",1,8
31,"('192.229.233.25', 443)","('104.244.43.71', 443)",1,8
32,"('212.179.154.238', 443)","('64.233.167.156', 443)",7,10
33,"('212.179.154.238', 443)","('212.179.180.96', 443)",1,10
34,"('64.233.167.156', 443)","('212.179.180.96', 443)",1,10
35,"('216.58.208.34', 443)","('212.179.180.96', 443)",7,10
36,"('104.244.43.199', 443)","('104.244.42.8', 443)",2,11
37,"('104.244.43.199', 443)","('104.244.42.65', 443)",3,11
38,"('104.244.42.8', 443)","('104.244.42.65', 443)",8,11
39,"('104.244.43.199', 443)","('104.244.42.131', 443)",1,11
40,"('104.244.42.8', 443)","('104.244.42.131', 443)",10,11
41,"('104.244.42.131', 443)","('104.244.42.65', 443)",6,11
42,"('64.233.184.156', 443)","('212.179.154.230', 443)",1,13
43,"('104.244.43.39', 443)","('104.244.42.193', 443)",4,14
44,"('104.244.43.39', 443)","('192.229.233.25', 443)",1,14
45,"('192.229.233.25', 443)","('104.244.42.193', 443)",1,14
46,"('104.244.42.8', 443)","('104.244.43.71', 443)",1,17
47,"('104.244.42.8', 443)","('104.244.43.7', 443)",1,17
48,"('104.244.43.71', 443)","('104.244.43.7', 443)",2,17
