,source,target,weight,id
0,"('212.179.180.110', 443)","('212.179.154.247', 443)",1,8
1,"('212.179.180.110', 443)","('216.58.213.130', 443)",1,8
2,"('212.179.180.110', 443)","('216.58.210.78', 443)",1,8
3,"('212.179.180.110', 443)","('216.58.210.2', 443)",1,8
4,"('212.179.154.247', 443)","('216.58.213.130', 443)",1,8
5,"('212.179.154.247', 443)","('216.58.210.78', 443)",1,8
6,"('212.179.154.247', 443)","('216.58.210.2', 443)",1,8
7,"('216.58.213.130', 443)","('216.58.210.78', 443)",1,8
8,"('216.58.213.130', 443)","('216.58.210.2', 443)",1,8
9,"('216.58.210.78', 443)","('216.58.210.2', 443)",1,8
10,"('212.179.180.116', 443)","('216.58.210.78', 443)",1,8
11,"('212.179.180.116', 443)","('216.58.208.77', 443)",1,8
12,"('216.58.210.78', 443)","('216.58.208.77', 443)",1,8
13,"('212.179.180.82', 443)","('212.179.154.205', 443)",1,9
14,"('212.179.154.237', 443)","('216.58.213.130', 443)",1,11
15,"('212.179.154.237', 443)","('212.179.180.89', 443)",1,11
16,"('212.179.154.237', 443)","('216.58.210.66', 443)",1,11
17,"('216.58.213.130', 443)","('212.179.180.89', 443)",1,11
18,"('216.58.213.130', 443)","('216.58.210.66', 443)",1,11
19,"('212.179.180.89', 443)","('216.58.210.66', 443)",1,11
20,"('212.179.154.236', 443)","('212.179.154.226', 443)",1,12
21,"('212.179.154.236', 443)","('212.179.154.205', 443)",1,12
22,"('212.179.154.236', 443)","('212.179.154.216', 443)",1,12
23,"('212.179.154.226', 443)","('212.179.154.205', 443)",4,12
24,"('212.179.154.226', 443)","('212.179.154.216', 443)",5,12
25,"('212.179.154.205', 443)","('212.179.154.216', 443)",3,12
26,"('212.179.154.226', 443)","('173.194.157.20', 443)",1,12
27,"('173.194.157.20', 443)","('212.179.154.216', 443)",1,12
28,"('212.179.154.231', 443)","('216.58.210.70', 443)",1,13
29,"('212.179.154.231', 443)","('212.179.180.96', 443)",1,13
30,"('212.179.180.117', 443)","('216.58.213.162', 443)",1,14
31,"('212.179.180.117', 443)","('216.58.210.66', 443)",1,14
32,"('212.179.180.117', 443)","('216.58.208.66', 443)",1,14
33,"('216.58.213.162', 443)","('216.58.210.66', 443)",1,14
34,"('216.58.213.162', 443)","('216.58.208.66', 443)",1,14
35,"('216.58.210.66', 443)","('216.58.208.66', 443)",1,14
36,"('216.58.213.141', 443)","('64.233.166.95', 443)",1,14
37,"('216.58.213.141', 443)","('173.194.112.74', 443)",1,14
38,"('216.58.213.141', 443)","('212.179.180.109', 443)",1,14
39,"('64.233.166.95', 443)","('173.194.112.74', 443)",1,14
40,"('64.233.166.95', 443)","('212.179.180.109', 443)",1,14
41,"('173.194.112.74', 443)","('212.179.180.109', 443)",1,14
42,"('212.179.154.212', 443)","('212.179.154.247', 443)",4,15
43,"('212.179.154.212', 443)","('212.179.154.217', 443)",1,15
44,"('212.179.154.247', 443)","('212.179.154.217', 443)",1,15
45,"('212.179.154.212', 443)","('212.179.154.205', 443)",3,15
46,"('212.179.154.205', 443)","('212.179.154.247', 443)",2,15
47,"('212.179.154.212', 443)","('209.85.226.202', 443)",2,15
48,"('212.179.154.247', 443)","('209.85.226.202', 443)",1,15
49,"('212.179.154.242', 443)","('216.58.213.166', 443)",2,16
50,"('212.179.154.242', 443)","('212.179.180.102', 443)",1,16
51,"('216.58.213.166', 443)","('212.179.180.102', 443)",1,16
52,"('216.58.213.162', 443)","('74.125.195.95', 443)",1,17
53,"('216.58.213.162', 443)","('212.179.180.116', 443)",1,17
54,"('74.125.195.95', 443)","('212.179.180.116', 443)",1,17
55,"('216.58.208.65', 443)","('216.58.213.162', 443)",1,17
56,"('216.58.208.65', 443)","('216.58.210.66', 443)",1,17
57,"('216.58.213.162', 443)","('216.58.210.66', 443)",1,17
58,"('212.179.180.82', 443)","('212.179.154.205', 443)",3,18
59,"('212.179.180.82', 443)","('212.179.180.110', 443)",7,18
60,"('212.179.180.82', 443)","('212.179.180.116', 443)",1,18
61,"('212.179.154.205', 443)","('212.179.180.110', 443)",5,18
62,"('212.179.154.205', 443)","('212.179.180.116', 443)",1,18
63,"('212.179.180.110', 443)","('212.179.180.116', 443)",1,18
64,"('212.179.180.82', 443)","('173.194.134.201', 443)",1,18
65,"('212.179.180.110', 443)","('173.194.134.201', 443)",1,18
66,"('212.179.180.82', 443)","('173.194.156.119', 443)",1,18
67,"('212.179.154.205', 443)","('173.194.156.119', 443)",1,18
68,"('173.194.156.119', 443)","('212.179.180.110', 443)",1,18
69,"('216.58.208.65', 443)","('212.179.154.246', 443)",3,19
70,"('216.58.208.65', 443)","('212.179.180.95', 443)",2,19
71,"('212.179.180.95', 443)","('212.179.154.246', 443)",1,19
72,"('216.58.208.65', 443)","('216.58.213.166', 443)",1,19
73,"('212.179.180.95', 443)","('216.58.213.166', 443)",1,19
74,"('216.58.208.65', 443)","('216.58.210.2', 443)",1,20
75,"('216.58.208.65', 443)","('216.58.208.66', 443)",1,20
76,"('216.58.208.65', 443)","('216.58.213.162', 443)",1,20
77,"('216.58.208.65', 443)","('74.125.195.95', 443)",1,20
78,"('216.58.208.65', 443)","('212.179.154.217', 443)",1,20
79,"('216.58.210.2', 443)","('216.58.208.66', 443)",1,20
80,"('216.58.210.2', 443)","('216.58.213.162', 443)",1,20
81,"('216.58.210.2', 443)","('74.125.195.95', 443)",1,20
82,"('216.58.210.2', 443)","('212.179.154.217', 443)",1,20
83,"('216.58.208.66', 443)","('216.58.213.162', 443)",1,20
84,"('216.58.208.66', 443)","('74.125.195.95', 443)",1,20
85,"('216.58.208.66', 443)","('212.179.154.217', 443)",1,20
86,"('216.58.213.162', 443)","('74.125.195.95', 443)",1,20
87,"('216.58.213.162', 443)","('212.179.154.217', 443)",1,20
88,"('74.125.195.95', 443)","('212.179.154.217', 443)",1,20
89,"('212.179.180.88', 443)","('212.179.154.205', 443)",3,21
90,"('212.179.180.88', 443)","('212.179.180.123', 443)",5,21
91,"('212.179.180.88', 443)","('212.179.180.102', 443)",1,21
92,"('212.179.154.205', 443)","('212.179.180.123', 443)",5,21
93,"('212.179.154.205', 443)","('212.179.180.102', 443)",1,21
94,"('212.179.180.123', 443)","('212.179.180.102', 443)",1,21
95,"('173.194.54.12', 443)","('212.179.180.88', 443)",2,21
96,"('173.194.54.12', 443)","('173.194.157.22', 443)",1,21
97,"('173.194.54.12', 443)","('212.179.180.123', 443)",2,21
98,"('173.194.54.12', 443)","('212.179.154.205', 443)",2,21
99,"('212.179.180.88', 443)","('173.194.157.22', 443)",1,21
100,"('173.194.157.22', 443)","('212.179.180.123', 443)",1,21
101,"('173.194.157.22', 443)","('212.179.154.205', 443)",1,21
102,"('216.58.208.65', 443)","('212.179.180.96', 443)",2,22
103,"('216.58.208.65', 443)","('216.58.210.70', 443)",1,22
104,"('216.58.210.65', 443)","('216.58.210.13', 443)",1,23
105,"('216.58.210.65', 443)","('216.58.210.67', 443)",1,23
106,"('216.58.210.13', 443)","('216.58.210.67', 443)",1,23
107,"('212.179.154.231', 443)","('212.179.154.210', 443)",3,24
108,"('212.179.154.231', 443)","('173.194.134.140', 443)",1,24
109,"('212.179.180.82', 443)","('216.58.213.166', 443)",1,25
110,"('212.179.154.217', 443)","('212.179.180.82', 443)",1,25
111,"('212.179.154.212', 443)","('212.179.154.246', 443)",1,26
112,"('212.179.154.212', 443)","('212.179.154.247', 443)",1,26
113,"('212.179.154.246', 443)","('212.179.154.247', 443)",1,26
114,"('216.58.210.65', 443)","('64.233.184.95', 443)",1,26
115,"('216.58.210.65', 443)","('212.179.180.123', 443)",1,26
116,"('216.58.210.65', 443)","('216.58.208.77', 443)",1,26
117,"('64.233.184.95', 443)","('212.179.180.123', 443)",1,26
118,"('64.233.184.95', 443)","('216.58.208.77', 443)",1,26
119,"('212.179.180.123', 443)","('216.58.208.77', 443)",1,26
120,"('212.179.154.227', 443)","('212.179.154.210', 443)",2,27
121,"('212.179.154.227', 443)","('212.179.180.89', 443)",4,27
122,"('212.179.154.227', 443)","('212.179.180.109', 443)",1,27
123,"('212.179.154.210', 443)","('212.179.180.89', 443)",3,27
124,"('212.179.154.210', 443)","('212.179.180.109', 443)",1,27
125,"('212.179.180.89', 443)","('212.179.180.109', 443)",1,27
126,"('173.194.7.199', 443)","('212.179.154.227', 443)",1,27
127,"('212.179.154.237', 443)","('216.58.213.166', 443)",2,28
128,"('212.179.154.237', 443)","('212.179.180.110', 443)",1,28
129,"('212.179.154.242', 443)","('212.179.154.217', 443)",1,29
130,"('212.179.154.242', 443)","('212.179.180.117', 443)",1,29
131,"('212.179.154.217', 443)","('212.179.180.117', 443)",1,29
132,"('212.179.154.231', 443)","('216.58.210.65', 443)",1,29
133,"('212.179.154.231', 443)","('216.58.208.77', 443)",1,29
134,"('216.58.210.65', 443)","('216.58.208.77', 443)",1,29
135,"('212.179.154.241', 443)","('212.179.180.88', 443)",1,30
136,"('212.179.154.241', 443)","('212.179.154.210', 443)",3,30
137,"('212.179.154.241', 443)","('212.179.180.116', 443)",4,30
138,"('212.179.180.88', 443)","('212.179.154.210', 443)",1,30
139,"('212.179.180.88', 443)","('212.179.180.116', 443)",1,30
140,"('212.179.154.210', 443)","('212.179.180.116', 443)",2,30
141,"('212.179.154.242', 443)","('216.58.210.6', 443)",1,31
142,"('212.179.154.242', 443)","('212.179.180.117', 443)",1,31
143,"('216.58.210.6', 443)","('212.179.180.117', 443)",1,31
144,"('212.179.154.242', 443)","('212.179.154.246', 443)",1,31
145,"('212.179.154.226', 443)","('212.179.154.247', 443)",1,32
146,"('212.179.154.226', 443)","('212.179.180.102', 443)",1,32
147,"('212.179.154.226', 443)","('212.179.154.227', 443)",1,32
148,"('212.179.154.247', 443)","('212.179.180.102', 443)",1,32
149,"('212.179.154.247', 443)","('212.179.154.227', 443)",1,32
150,"('212.179.180.102', 443)","('212.179.154.227', 443)",1,32
151,"('212.179.154.212', 443)","('212.179.154.247', 443)",1,32
152,"('212.179.154.212', 443)","('216.58.210.65', 443)",1,32
153,"('212.179.154.212', 443)","('216.58.213.141', 443)",1,32
154,"('212.179.154.212', 443)","('64.233.166.95', 443)",1,32
155,"('212.179.154.247', 443)","('216.58.210.65', 443)",1,32
156,"('212.179.154.247', 443)","('216.58.213.141', 443)",1,32
157,"('212.179.154.247', 443)","('64.233.166.95', 443)",1,32
158,"('216.58.210.65', 443)","('216.58.213.141', 443)",1,32
159,"('216.58.210.65', 443)","('64.233.166.95', 443)",1,32
160,"('216.58.213.141', 443)","('64.233.166.95', 443)",1,32
161,"('212.179.154.237', 443)","('212.179.154.210', 443)",1,33
162,"('212.179.154.237', 443)","('212.179.154.236', 443)",1,33
163,"('212.179.154.237', 443)","('212.179.154.222', 443)",1,33
164,"('212.179.154.237', 443)","('212.179.154.216', 443)",1,33
165,"('212.179.154.210', 443)","('212.179.154.236', 443)",3,33
166,"('212.179.154.210', 443)","('212.179.154.222', 443)",1,33
167,"('212.179.154.210', 443)","('212.179.154.216', 443)",3,33
168,"('212.179.154.236', 443)","('212.179.154.222', 443)",1,33
169,"('212.179.154.236', 443)","('212.179.154.216', 443)",3,33
170,"('212.179.154.222', 443)","('212.179.154.216', 443)",1,33
171,"('212.179.154.236', 443)","('173.194.17.104', 443)",2,33
172,"('212.179.180.123', 443)","('216.58.210.6', 443)",1,34
173,"('212.179.154.227', 443)","('212.179.180.110', 443)",1,35
174,"('212.179.154.227', 443)","('212.179.180.95', 443)",1,35
175,"('212.179.180.110', 443)","('212.179.180.95', 443)",1,35
176,"('212.179.180.89', 443)","('216.58.213.129', 443)",1,35
177,"('212.179.180.89', 443)","('216.58.213.141', 443)",1,35
178,"('216.58.213.129', 443)","('216.58.213.141', 443)",1,35
179,"('212.179.154.251', 443)","('212.179.154.227', 443)",2,36
180,"('212.179.154.251', 443)","('212.179.154.210', 443)",2,36
181,"('212.179.154.227', 443)","('212.179.154.210', 443)",2,36
182,"('216.58.213.134', 443)","('212.179.180.96', 443)",1,37
183,"('212.179.180.103', 443)","('212.179.180.123', 443)",1,38
184,"('212.179.180.103', 443)","('212.179.180.102', 443)",1,38
185,"('212.179.180.123', 443)","('212.179.180.102', 443)",1,38
186,"('212.179.154.231', 443)","('212.179.154.222', 443)",1,39
187,"('212.179.154.231', 443)","('212.179.154.210', 443)",1,39
188,"('212.179.154.231', 443)","('212.179.180.117', 443)",3,39
189,"('212.179.154.222', 443)","('212.179.154.210', 443)",1,39
190,"('212.179.154.222', 443)","('212.179.180.117', 443)",1,39
191,"('212.179.154.210', 443)","('212.179.180.117', 443)",3,39
192,"('212.179.180.82', 443)","('212.179.154.246', 443)",2,40
193,"('212.179.180.82', 443)","('216.58.213.134', 443)",1,40
194,"('216.58.213.134', 443)","('212.179.154.246', 443)",1,40
195,"('212.179.154.242', 443)","('212.179.180.82', 443)",1,40
196,"('216.58.213.161', 443)","('212.179.154.226', 443)",1,41
197,"('216.58.213.161', 443)","('216.58.208.66', 443)",1,41
198,"('212.179.154.226', 443)","('216.58.208.66', 443)",1,41
199,"('212.179.154.226', 443)","('173.194.116.140', 443)",1,41
200,"('212.179.154.226', 443)","('216.58.213.173', 443)",1,41
201,"('173.194.116.140', 443)","('216.58.213.173', 443)",1,41
202,"('212.179.154.231', 443)","('212.179.154.226', 443)",4,42
203,"('212.179.154.231', 443)","('212.179.154.207', 443)",3,42
204,"('212.179.154.226', 443)","('212.179.154.207', 443)",4,42
205,"('216.58.210.70', 443)","('212.179.180.116', 443)",1,43
206,"('212.179.154.236', 443)","('212.179.180.116', 443)",1,43
207,"('212.179.154.247', 443)","('216.58.210.66', 443)",1,44
208,"('212.179.154.247', 443)","('212.179.154.232', 443)",1,44
209,"('212.179.154.247', 443)","('216.58.210.65', 443)",1,44
210,"('212.179.154.247', 443)","('216.58.213.130', 443)",1,44
211,"('212.179.154.247', 443)","('212.179.180.117', 443)",1,44
212,"('212.179.154.247', 443)","('216.58.213.162', 443)",1,44
213,"('216.58.210.66', 443)","('212.179.154.232', 443)",1,44
214,"('216.58.210.66', 443)","('216.58.210.65', 443)",1,44
215,"('216.58.210.66', 443)","('216.58.213.130', 443)",1,44
216,"('216.58.210.66', 443)","('212.179.180.117', 443)",1,44
217,"('216.58.210.66', 443)","('216.58.213.162', 443)",1,44
218,"('212.179.154.232', 443)","('216.58.210.65', 443)",1,44
219,"('212.179.154.232', 443)","('216.58.213.130', 443)",1,44
220,"('212.179.154.232', 443)","('212.179.180.117', 443)",1,44
221,"('212.179.154.232', 443)","('216.58.213.162', 443)",1,44
222,"('216.58.210.65', 443)","('216.58.213.130', 443)",1,44
223,"('216.58.210.65', 443)","('212.179.180.117', 443)",1,44
224,"('216.58.210.65', 443)","('216.58.213.162', 443)",1,44
225,"('216.58.213.130', 443)","('212.179.180.117', 443)",1,44
226,"('216.58.213.130', 443)","('216.58.213.162', 443)",1,44
227,"('212.179.180.117', 443)","('216.58.213.162', 443)",1,44
228,"('216.58.213.173', 443)","('212.179.154.247', 443)",1,44
229,"('216.58.213.173', 443)","('212.179.154.227', 443)",1,44
230,"('212.179.154.247', 443)","('212.179.154.227', 443)",1,44
231,"('212.179.154.207', 443)","('212.179.154.222', 443)",2,45
232,"('212.179.154.207', 443)","('212.179.180.123', 443)",3,45
233,"('212.179.154.207', 443)","('212.179.154.216', 443)",1,45
234,"('212.179.154.222', 443)","('212.179.180.123', 443)",2,45
235,"('212.179.154.222', 443)","('212.179.154.216', 443)",1,45
236,"('212.179.180.123', 443)","('212.179.154.216', 443)",1,45
237,"('216.58.210.70', 443)","('212.179.180.96', 443)",1,46
238,"('212.179.180.110', 443)","('216.58.210.1', 443)",1,47
239,"('212.179.180.110', 443)","('212.179.180.103', 443)",1,47
240,"('212.179.180.110', 443)","('216.58.213.162', 443)",2,47
241,"('212.179.180.110', 443)","('212.179.154.217', 443)",1,47
242,"('216.58.210.1', 443)","('212.179.180.103', 443)",1,47
243,"('216.58.210.1', 443)","('216.58.213.162', 443)",1,47
244,"('216.58.210.1', 443)","('212.179.154.217', 443)",1,47
245,"('212.179.180.103', 443)","('216.58.213.162', 443)",1,47
246,"('212.179.180.103', 443)","('212.179.154.217', 443)",1,47
247,"('216.58.213.162', 443)","('212.179.154.217', 443)",1,47
248,"('212.179.180.110', 443)","('212.179.180.88', 443)",1,47
249,"('212.179.180.110', 443)","('216.58.213.173', 443)",1,47
250,"('212.179.180.110', 443)","('74.125.133.95', 443)",1,47
251,"('212.179.180.110', 443)","('74.125.140.132', 443)",1,47
252,"('212.179.180.88', 443)","('216.58.213.173', 443)",1,47
253,"('212.179.180.88', 443)","('216.58.213.162', 443)",1,47
254,"('212.179.180.88', 443)","('74.125.133.95', 443)",1,47
255,"('212.179.180.88', 443)","('74.125.140.132', 443)",1,47
256,"('216.58.213.173', 443)","('216.58.213.162', 443)",1,47
257,"('216.58.213.173', 443)","('74.125.133.95', 443)",1,47
258,"('216.58.213.173', 443)","('74.125.140.132', 443)",1,47
259,"('216.58.213.162', 443)","('74.125.133.95', 443)",1,47
260,"('216.58.213.162', 443)","('74.125.140.132', 443)",1,47
261,"('74.125.133.95', 443)","('74.125.140.132', 443)",1,47
262,"('212.179.154.207', 443)","('212.179.180.95', 443)",1,48
263,"('212.179.154.207', 443)","('212.179.180.89', 443)",3,48
264,"('212.179.154.207', 443)","('212.179.154.212', 443)",4,48
265,"('212.179.180.95', 443)","('212.179.180.89', 443)",1,48
266,"('212.179.180.95', 443)","('212.179.154.212', 443)",1,48
