id,folder,fname,sample_type,label,modified_mac
1947.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data.pcap.TCP_10-0-0-8_47645_212-179-180-102_443.pcap.Seconds_1451325600.pcap,4.0,13101.0,00:33:2d:07:9b:10
1948.0,l_hi_chrome,L_cyber_chrome_10-15__21_46_44.pcap.TCP_10-0-0-19_39927_192-229-233-25_443.pcap.Seconds_1444979400.pcap,4.0,16101.0,00:3e:e5:07:9c:10
1949.0,l_hi_chrome,L_cyber_chrome_10-15__21_46_44.pcap.TCP_10-0-0-19_49510_74-125-206-156_443.pcap.Seconds_1444976400.pcap,4.0,13101.0,00:33:2d:07:9d:10
1950.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data.pcap.TCP_10-0-0-8_36696_95-172-94-57_443.pcap.Seconds_1451325600.pcap,4.0,18101.0,00:46:b5:07:9e:10
1951.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_53218_104-79-230-155_443.pcap.Seconds_1451329200.pcap,4.0,18101.0,00:46:b5:07:9f:10
1952.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_57751_66-155-15-43_443.pcap.Seconds_1451331000.pcap,4.0,18101.0,00:46:b5:07:a0:10
1953.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data.pcap.TCP_10-0-0-8_53713_54-230-79-207_443.pcap.Seconds_1451325600.pcap,4.0,18101.0,00:46:b5:07:a1:10
1954.0,l_hi_chrome,L_cyber_chrome_02-17__18_53_56.pcap.TCP_10-0-0-16_53806_192-229-233-25_443.pcap.Seconds_1455735000.pcap,4.0,16101.0,00:3e:e5:07:a2:10
1955.0,l_hi_chrome,L_cyber_chrome_10-07__15_04_10.pcap.TCP_10-0-0-19_50971_104-244-42-3_443.pcap.Seconds_1444230000.pcap,4.0,16101.0,00:3e:e5:07:a3:10
1956.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_57042_93-184-221-200_443.pcap.Seconds_1451329200.pcap,4.0,18101.0,00:46:b5:07:a4:10
1957.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_33145_216-58-213-166_443.pcap.Seconds_1451326800.pcap,4.0,18101.0,00:46:b5:07:a5:10
1958.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_36844_212-179-180-89_443.pcap.Seconds_1451331600.pcap,4.0,17101.0,00:42:cd:07:a6:10
1959.0,l_hi_chrome,L_cyber_chrome_10-08__16_08_05.pcap.TCP_10-0-0-19_37215_104-244-42-193_443.pcap.Seconds_1444320000.pcap,4.0,16101.0,00:3e:e5:07:a7:10
1960.0,l_hi_chrome,L_cyber_chrome_10-13__10_38_01.pcap.TCP_10-0-0-19_35056_104-244-43-135_443.pcap.Seconds_1444774800.pcap,4.0,16101.0,00:3e:e5:07:a8:10
1961.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_47257_54-230-79-17_443.pcap.Seconds_1451332200.pcap,4.0,18101.0,00:46:b5:07:a9:10
1962.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_50895_52-18-55-11_443.pcap.Seconds_1451326800.pcap,4.0,18101.0,00:46:b5:07:aa:10
1963.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_48004_50-31-185-39_443.pcap.Seconds_1451328000.pcap,4.0,18101.0,00:46:b5:07:ab:10
1964.0,l_hi_chrome,L_cyber_chrome_10-08__10_08_09.pcap.TCP_10-0-0-19_38931_192-229-233-25_443.pcap.Seconds_1444298400.pcap,4.0,16101.0,00:3e:e5:07:ac:10
1965.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_52481_74-125-8-11_443.pcap.Seconds_1451331000.pcap,4.0,17101.0,00:42:cd:07:ad:10
1966.0,l_hi_chrome,L_cyber_chrome_02-17__18_53_56.pcap.TCP_10-0-0-16_46042_50-18-181-54_443.pcap.Seconds_1455735000.pcap,4.0,18101.0,00:46:b5:07:ae:10
1967.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_60458_194-90-156-145_443.pcap.Seconds_1451329200.pcap,4.0,18101.0,00:46:b5:07:af:10
1968.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_46525_212-179-154-221_443.pcap.Seconds_1451328600.pcap,4.0,13101.0,00:33:2d:07:b0:10
1969.0,l_hi_chrome,L_cyber_chrome_10-15__12_42_04.pcap.TCP_10-0-0-19_41743_192-229-233-25_443.pcap.Seconds_1444912800.pcap,4.0,16101.0,00:3e:e5:07:b1:10
1970.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_34585_212-179-17-146_443.pcap.Seconds_1451329200.pcap,4.0,17101.0,00:42:cd:07:b2:10
1971.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_40208_93-184-220-127_443.pcap.Seconds_1451332200.pcap,4.0,18101.0,00:46:b5:07:b3:10
1972.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_54468_52-18-55-11_443.pcap.Seconds_1451331000.pcap,4.0,18101.0,00:46:b5:07:b4:10
1973.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_47937_216-239-32-57_443.pcap.Seconds_1451327400.pcap,4.0,13101.0,00:33:2d:07:b5:10
1974.0,l_hi_chrome,L_cyber_chrome_02-09__11_04_17.pcap.TCP_10-0-0-15_44473_74-125-136-156_443.pcap.Seconds_1455015600.pcap,4.0,13101.0,00:33:2d:07:b6:10
1975.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_48689_92-122-140-85_443.pcap.Seconds_1451328600.pcap,4.0,18101.0,00:46:b5:07:b7:10
1976.0,l_hi_chrome,L_cyber_chrome_09-09__11_57_32.pcap.TCP_10-0-0-14_56476_192-229-233-25_443.pcap.Seconds_1441799400.pcap,4.0,16101.0,00:3e:e5:07:b8:10
1977.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data.pcap.TCP_10-0-0-8_40095_46-228-164-11_443.pcap.Seconds_1451325600.pcap,4.0,18101.0,00:46:b5:07:b9:10
1978.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_41643_50-31-185-43_443.pcap.Seconds_1451328600.pcap,4.0,18101.0,00:46:b5:07:ba:10
1979.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_50533_173-194-116-140_443.pcap.Seconds_1451332200.pcap,4.0,13101.0,00:33:2d:07:bb:10
1980.0,l_hi_chrome,L_cyber_chrome_10-15__21_46_44.pcap.TCP_10-0-0-19_57296_104-244-43-135_443.pcap.Seconds_1444950600.pcap,4.0,16101.0,00:3e:e5:07:bc:10
1981.0,l_hi_chrome,L_cyber_chrome_09-16__12_42_19.pcap.TCP_10-0-0-14_46596_192-229-233-25_443.pcap.Seconds_1442407200.pcap,4.0,16101.0,00:3e:e5:07:bd:10
1982.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_60415_194-90-156-145_443.pcap.Seconds_1451329200.pcap,4.0,18101.0,00:46:b5:07:be:10
1983.0,l_hi_chrome,L_cyber_chrome_10-15__21_46_44.pcap.TCP_10-0-0-19_41392_68-232-34-217_443.pcap.Seconds_1444960200.pcap,4.0,18101.0,00:46:b5:07:bf:10
1984.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_54725_216-58-208-70_443.pcap.Seconds_1451329200.pcap,4.0,18101.0,00:46:b5:07:c0:10
1985.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_34369_216-137-63-127_443.pcap.Seconds_1451331600.pcap,4.0,18101.0,00:46:b5:07:c1:10
1986.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_46784_216-58-210-1_443.pcap.Seconds_1451328600.pcap,4.0,18101.0,00:46:b5:07:c2:10
1987.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_58490_64-233-166-156_443.pcap.Seconds_1451326800.pcap,4.0,13101.0,00:33:2d:07:c3:10
1988.0,l_hi_chrome,L_cyber_chrome_09-09__19_35_56.pcap.TCP_10-0-0-14_45236_192-229-233-25_443.pcap.Seconds_1441827000.pcap,4.0,16101.0,00:3e:e5:07:c4:10
1989.0,l_hi_chrome,L_cyber_chrome_10-13__10_38_01.pcap.TCP_10-0-0-19_55381_192-229-233-25_443.pcap.Seconds_1444764600.pcap,4.0,16101.0,00:3e:e5:07:c5:10
1990.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_57958_93-184-221-200_443.pcap.Seconds_1451331600.pcap,4.0,18101.0,00:46:b5:07:c6:10
1991.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_50848_52-18-55-11_443.pcap.Seconds_1451326800.pcap,4.0,18101.0,00:46:b5:07:c7:10
1992.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_40546_216-58-213-129_443.pcap.Seconds_1451330400.pcap,4.0,18101.0,00:46:b5:07:c8:10
1993.0,l_hi_chrome,L_cyber_chrome_02-09__11_04_17.pcap.TCP_10-0-0-15_53878_162-213-33-49_443.pcap.Seconds_1455016200.pcap,4.0,18101.0,00:46:b5:07:c9:10
1994.0,l_hi_chrome,L_cyber_chrome_10-07__15_04_10.pcap.TCP_10-0-0-19_53865_192-229-233-25_443.pcap.Seconds_1444239600.pcap,4.0,16101.0,00:3e:e5:07:ca:10
