,source,target,weight,id
0,"('212.179.154.237', 443)","('212.179.154.210', 443)",1,1
1,"('212.179.154.237', 443)","('64.233.167.157', 443)",1,1
2,"('212.179.154.210', 443)","('64.233.167.157', 443)",4,1
3,"('212.179.154.237', 443)","('216.58.209.226', 443)",4,1
4,"('104.244.43.167', 443)","('199.59.150.39', 443)",5,3
5,"('104.244.43.167', 443)","('192.229.233.25', 443)",2,3
6,"('199.59.150.39', 443)","('192.229.233.25', 443)",3,3
7,"('104.244.43.167', 443)","('199.59.149.200', 443)",1,3
8,"('199.59.150.39', 443)","('199.59.149.200', 443)",2,3
9,"('199.59.149.200', 443)","('192.229.233.25', 443)",4,3
10,"('212.179.154.217', 443)","('64.233.166.155', 443)",1,5
11,"('212.179.154.217', 443)","('212.179.154.237', 443)",1,5
12,"('64.233.166.155', 443)","('212.179.154.237', 443)",7,5
13,"('212.179.154.217', 443)","('216.58.209.226', 443)",7,5
14,"('199.59.148.10', 443)","('104.244.43.231', 443)",5,7
15,"('199.59.148.10', 443)","('192.229.233.25', 443)",4,7
16,"('104.244.43.231', 443)","('192.229.233.25', 443)",2,7
17,"('199.59.148.10', 443)","('199.59.150.10', 443)",9,7
18,"('104.244.43.231', 443)","('199.59.150.10', 443)",1,7
19,"('199.59.150.10', 443)","('192.229.233.25', 443)",5,7
20,"('212.179.154.251', 443)","('64.233.184.157', 443)",1,9
21,"('212.179.154.251', 443)","('212.179.180.89', 443)",1,9
22,"('64.233.184.157', 443)","('212.179.180.89', 443)",6,9
23,"('212.179.154.251', 443)","('216.58.210.34', 443)",5,9
24,"('199.59.150.39', 443)","('192.229.233.25', 443)",12,11
25,"('199.59.150.39', 443)","('199.59.149.243', 443)",3,11
26,"('192.229.233.25', 443)","('199.59.149.243', 443)",5,11
27,"('212.179.154.231', 443)","('212.179.154.244', 443)",1,13
28,"('212.179.154.231', 443)","('74.125.140.155', 443)",1,13
29,"('212.179.154.244', 443)","('74.125.140.155', 443)",7,13
30,"('212.179.154.231', 443)","('216.58.210.2', 443)",7,13
31,"('199.59.148.10', 443)","('192.229.233.25', 443)",12,15
32,"('199.59.148.10', 443)","('199.59.150.10', 443)",7,15
33,"('199.59.150.10', 443)","('192.229.233.25', 443)",5,15
34,"('212.179.180.96', 443)","('212.179.154.245', 443)",1,17
35,"('212.179.180.96', 443)","('64.233.184.154', 443)",2,17
36,"('212.179.154.245', 443)","('64.233.184.154', 443)",1,17
37,"('216.58.208.34', 443)","('212.179.154.245', 443)",2,17
38,"('23.103.189.125', 443)","('191.232.139.141', 443)",1,18
39,"('199.59.150.39', 443)","('104.244.43.199', 443)",6,19
40,"('199.59.149.200', 443)","('104.244.43.199', 443)",1,19
41,"('199.59.149.200', 443)","('199.59.150.39', 443)",1,19
42,"('199.59.149.200', 443)","('192.229.233.25', 443)",2,19
43,"('104.244.43.199', 443)","('192.229.233.25', 443)",1,19
44,"('199.59.150.39', 443)","('192.229.233.25', 443)",1,19
45,"('212.179.154.223', 443)","('74.125.195.154', 443)",1,21
46,"('212.179.154.223', 443)","('212.179.154.216', 443)",1,21
47,"('74.125.195.154', 443)","('212.179.154.216', 443)",7,21
48,"('212.179.154.223', 443)","('216.58.210.34', 443)",7,21
49,"('157.56.141.114', 443)","('204.79.197.213', 443)",2,22
50,"('199.59.149.198', 443)","('104.244.43.7', 443)",5,23
51,"('199.59.149.198', 443)","('192.229.233.25', 443)",3,23
52,"('199.59.149.198', 443)","('199.59.148.11', 443)",4,23
53,"('192.229.233.25', 443)","('104.244.43.7', 443)",1,23
54,"('192.229.233.25', 443)","('199.59.148.11', 443)",5,23
55,"('104.244.43.7', 443)","('199.59.148.11', 443)",1,23
56,"('212.179.154.210', 443)","('212.179.180.110', 443)",1,25
