,source,target,weight,id
0,"('134.170.107.24', 443)","('134.170.108.200', 443)",1,2
1,"('104.244.43.39', 443)","('199.59.149.198', 443)",4,3
2,"('104.244.43.39', 443)","('199.59.148.11', 443)",1,3
3,"('104.244.43.39', 443)","('192.229.233.25', 443)",1,3
4,"('199.59.148.11', 443)","('192.229.233.25', 443)",3,3
5,"('199.59.148.11', 443)","('199.59.149.198', 443)",6,3
6,"('192.229.233.25', 443)","('199.59.149.198', 443)",20,3
7,"('199.59.148.148', 443)","('104.244.43.39', 443)",1,3
8,"('199.59.148.148', 443)","('199.59.149.198', 443)",8,3
9,"('199.59.148.148', 443)","('192.229.233.25', 443)",6,3
10,"('199.59.148.148', 443)","('199.59.148.11', 443)",1,3
11,"('199.59.150.39', 443)","('104.244.43.199', 443)",4,7
12,"('104.244.43.199', 443)","('192.229.233.25', 443)",1,7
13,"('104.244.43.199', 443)","('199.59.148.11', 443)",1,7
14,"('199.59.150.39', 443)","('192.229.233.25', 443)",28,7
15,"('199.59.150.39', 443)","('199.59.148.11', 443)",5,7
16,"('192.229.233.25', 443)","('199.59.148.11', 443)",3,7
17,"('199.59.148.148', 443)","('104.244.43.199', 443)",1,7
18,"('199.59.148.148', 443)","('199.59.150.39', 443)",12,7
19,"('199.59.148.148', 443)","('192.229.233.25', 443)",11,7
20,"('199.59.148.148', 443)","('199.59.148.11', 443)",1,7
21,"('68.232.34.191', 443)","('92.122.137.92', 443)",6,8
22,"('199.59.150.7', 443)","('104.244.43.135', 443)",4,12
23,"('199.59.150.7', 443)","('192.229.233.25', 443)",25,12
24,"('192.229.233.25', 443)","('104.244.43.135', 443)",3,12
25,"('199.59.150.7', 443)","('199.59.148.11', 443)",4,12
26,"('199.59.148.11', 443)","('192.229.233.25', 443)",4,12
27,"('199.59.148.11', 443)","('104.244.43.135', 443)",1,12
28,"('199.59.150.7', 443)","('199.59.148.213', 443)",9,12
29,"('199.59.148.213', 443)","('192.229.233.25', 443)",9,12
30,"('199.59.148.213', 443)","('104.244.43.135', 443)",1,12
31,"('199.59.148.213', 443)","('199.59.148.11', 443)",1,12
