,source,target,weight,id
0,"('204.11.110.64', 443)","('213.19.162.51', 443)",1,0
1,"('204.11.110.64', 443)","('172.217.17.130', 80)",2,0
2,"('204.11.110.64', 443)","('172.217.17.68', 443)",2,0
3,"('204.11.110.64', 443)","('172.217.20.74', 443)",1,0
4,"('204.11.110.64', 443)","('172.217.168.206', 80)",2,0
5,"('204.11.110.64', 443)","('208.67.222.222', 53)",2,0
6,"('204.11.110.64', 443)","('172.217.17.142', 443)",1,0
7,"('213.19.162.51', 443)","('172.217.17.130', 80)",1,0
8,"('213.19.162.51', 443)","('172.217.17.68', 443)",2,0
9,"('213.19.162.51', 443)","('172.217.20.74', 443)",2,0
10,"('213.19.162.51', 443)","('172.217.168.206', 80)",2,0
11,"('213.19.162.51', 443)","('208.67.222.222', 53)",3,0
12,"('213.19.162.51', 443)","('172.217.17.142', 443)",1,0
13,"('172.217.17.130', 80)","('172.217.17.68', 443)",2,0
14,"('172.217.17.130', 80)","('172.217.20.74', 443)",1,0
15,"('172.217.17.130', 80)","('172.217.168.206', 80)",2,0
16,"('172.217.17.130', 80)","('208.67.222.222', 53)",2,0
17,"('172.217.17.130', 80)","('172.217.17.142', 443)",1,0
18,"('172.217.17.68', 443)","('172.217.20.74', 443)",1,0
19,"('172.217.17.68', 443)","('172.217.168.206', 80)",3,0
20,"('172.217.17.68', 443)","('208.67.222.222', 53)",3,0
21,"('172.217.17.68', 443)","('172.217.17.142', 443)",1,0
22,"('172.217.20.74', 443)","('172.217.168.206', 80)",1,0
23,"('172.217.20.74', 443)","('208.67.222.222', 53)",2,0
24,"('172.217.20.74', 443)","('172.217.17.142', 443)",1,0
25,"('172.217.168.206', 80)","('208.67.222.222', 53)",3,0
26,"('172.217.168.206', 80)","('172.217.17.142', 443)",1,0
27,"('208.67.222.222', 53)","('172.217.17.142', 443)",1,0
28,"('52.85.255.141', 443)","('172.217.168.225', 443)",1,0
29,"('52.85.255.141', 443)","('172.217.17.98', 443)",1,0
30,"('52.85.255.141', 443)","('172.217.17.34', 443)",1,0
31,"('52.85.255.141', 443)","('172.217.168.246', 443)",1,0
32,"('52.85.255.141', 443)","('172.217.17.129', 443)",1,0
33,"('52.85.255.141', 443)","('172.217.168.195', 443)",1,0
34,"('52.85.255.141', 443)","('173.194.76.188', 5228)",2,0
35,"('52.85.255.141', 443)","('213.19.162.51', 443)",1,0
36,"('52.85.255.141', 443)","('172.217.17.67', 443)",1,0
37,"('52.85.255.141', 443)","('172.217.17.68', 443)",1,0
38,"('52.85.255.141', 443)","('172.217.20.110', 443)",1,0
39,"('52.85.255.141', 443)","('216.58.212.238', 443)",2,0
40,"('52.85.255.141', 443)","('216.58.211.110', 443)",1,0
41,"('52.85.255.141', 443)","('172.217.168.206', 80)",1,0
42,"('52.85.255.141', 443)","('208.67.222.222', 53)",2,0
43,"('52.85.255.141', 443)","('74.125.8.10', 443)",1,0
44,"('172.217.168.225', 443)","('172.217.17.98', 443)",1,0
45,"('172.217.168.225', 443)","('172.217.17.34', 443)",2,0
46,"('172.217.168.225', 443)","('172.217.168.246', 443)",2,0
47,"('172.217.168.225', 443)","('172.217.17.129', 443)",1,0
48,"('172.217.168.225', 443)","('172.217.168.195', 443)",1,0
