,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('54.192.130.134', 443)",1398,52,924.6538461538462,0.0,587.6271019505019,345305.61094674555,-0.5627980173575376,-1.5476839456829938,75.0,121.0,354.5,913.0,1398.0,1398.0,1398.0,1398.0,1398.0,28,569,52,89.53571428571429,0.0,106.91534773657453,11430.891581632652,3.5214192956092876,12.109757741529341,52.0,52.0,52.0,52.0,52.0,52.0,52.0,62.400000000000006,154.90000000000003,54,1398,52,491.6296296296296,56.33888430321287,588.4741190160488,346301.78875171475,0.7923101797299668,-1.2584322953205922,52.0,52.0,52.0,52.0,90.0,171.39999999999992,867.9999999999998,1398.0,1398.0,26548.0,1.0,0.0,1,54.0,1,0.21176470588235294,0.7529411764705882,0.5098039215686274,0.5254901960784314,0
1,"('203.190.242.244', 443)",1398,52,437.77272727272725,102.29955307688654,510.7398316362595,260855.17561983468,1.1265254202648696,-0.39599758706294974,52.0,52.0,60.0,91.6,121.0,326.0,456.0,1001.5999999999992,1398.0,50,998,40,132.76,0.0,179.68211485843548,32285.6624,3.0730125141549025,9.913278233446816,52.0,52.0,52.0,52.0,52.0,55.19999999999999,102.59999999999988,145.0,239.40000000000018,94,1398,40,275.531914893617,28.91074326085924,403.0373168438298,162439.07876867364,2.020205793055831,2.7683337003049955,52.0,52.0,52.0,52.0,71.5,121.0,195.1,416.0,939.8000000000006,6475.0,2.5,1.5,4,23.5,1,0.796078431372549,0.7450980392156863,0.9490196078431372,0.9568627450980393,0
2,"('52.29.77.169', 443)",83,52,67.5,22.98033438683683,15.5,240.25,0.0,-2.0,55.10000000000001,58.2,61.3,64.4,67.5,70.6,73.69999999999999,76.80000000000001,79.9,3,52,52,52.0,0.0,0.0,0.0,0.0,-3.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,5,83,52,58.2,0.0,12.4,153.76000000000002,1.4999999999999993,0.24999999999999778,52.0,52.0,52.0,52.0,52.0,52.0,52.0,58.20000000000001,70.6,291.0,2.0,0.0,1,5.0,1,0.20392156862745098,0.11372549019607843,0.30196078431372547,0.6627450980392157,0
3,"('34.240.96.173', 443)",1398,52,584.5416666666666,234.25115052388512,599.6795657659366,359615.58159722225,0.4909764655432352,-1.6132532631603542,52.0,52.0,60.0,88.40000000000002,210.0,638.7999999999996,1376.8999999999999,1398.0,1398.0,30,1398,52,271.7,0.0,457.2810332097028,209105.9433333333,1.8906585036677794,1.8340336085103282,52.0,52.0,52.0,52.0,52.0,52.0,60.0,229.8000000000012,1383.1,54,1398,52,410.74074074074076,11.860817748044816,547.8727273530131,300164.5253772291,1.1140804894877905,-0.5910257713119513,52.0,52.0,52.0,52.0,60.0,104.59999999999992,335.8999999999985,1378.8000000000002,1398.0,7393.333333333333,1.6666666666666667,0.9428090415820634,3,18.0,1,0.13333333333333333,0.9411764705882353,0.3764705882352941,0.6784313725490196,0
4,"('23.196.230.98', 443)",75,52,63.5,17.049925512814422,11.5,132.25,0.0,-2.0,52.0,52.0,52.0,52.0,63.5,75.0,75.0,75.0,75.0,12,52,40,44.0,0.0,5.656854249492381,32.0,0.7071067811865475,-1.5,40.0,40.0,40.0,40.0,40.0,40.0,48.39999999999999,52.0,52.0,20,75,40,51.8,17.791226622067224,12.781236246936365,163.35999999999996,0.8813574975137327,-0.5382460494167041,40.0,40.0,40.0,47.2,52.0,52.0,52.0,56.60000000000002,75.0,1036.0,1.0,0.0,1,20.0,1,0.09019607843137255,0.7686274509803922,0.9019607843137255,0.3843137254901961,0
5,"('31.172.81.159', 443)",1398,52,644.375,598.9712962762632,483.6302661899894,233898.234375,0.3759335887005641,-1.1334391128769372,57.6,169.60000000000005,357.5,522.0000000000001,601.0,658.6,748.1999999999999,1113.2000000000003,1363.0,13,649,52,240.46153846153845,0.0,242.7796137001671,58941.94082840237,0.6024615506076785,-1.4988322827933527,52.0,52.0,52.0,52.0,52.0,126.79999999999977,444.79999999999984,549.8000000000001,569.0,21,1398,52,394.3333333333333,418.09382561857973,405.051005998402,164066.31746031748,1.1320870136802696,0.5475814870543556,52.0,52.0,52.0,60.0,334.0,521.0,569.0,633.0,761.0,8281.0,2.0,0.0,1,21.0,1,0.12156862745098039,0.6745098039215687,0.3176470588235294,0.6235294117647059,0
6,"('216.239.32.21', 443)",1398,52,277.52941176470586,63.75189539574088,420.1616100344162,176535.77854671283,2.1520011985077727,2.990373071579464,52.0,52.0,58.39999999999999,71.2,95.0,113.0,204.39999999999998,326.80000000000007,766.8000000000004,20,569,52,137.4,14.82602218505602,145.78559599631234,21253.44,1.7477553025908523,1.8205859727171827,52.0,52.0,52.0,52.0,62.0,71.2,104.09999999999995,171.40000000000018,384.0,37,1398,52,201.78378378378378,17.791226622067224,312.2117381950334,97476.16946676407,3.0405831136058072,8.73720759214394,52.0,52.0,52.0,60.0,64.0,93.0,137.0,297.20000000000005,384.0,7466.0,2.0,0.0,1,37.0,1,0.8470588235294118,0.9372549019607843,0.12549019607843137,0.08235294117647059,0
7,"('54.192.128.199', 443)",1398,52,502.93333333333334,50.40847542919047,568.7134564572528,323434.99555555556,0.7870436321017742,-1.1703393547463876,52.0,52.0,64.6,84.8,86.0,366.40000000000015,614.0,1398.0,1398.0,12,569,52,172.16666666666666,0.0,198.31365448590665,39328.30555555556,1.1764285195790694,-0.5343541043497448,52.0,52.0,52.0,52.0,52.0,56.8,90.09999999999997,399.0000000000002,494.6,27,1398,52,355.9259259259259,45.96066877367366,473.4757943616177,224179.3278463649,1.442600921749711,0.5802920801933049,52.0,52.0,52.0,55.2,83.0,96.19999999999999,477.79999999999995,601.8000000000001,1398.0,2402.5,1.25,0.4330127018922193,4,6.75,1,0.21176470588235294,0.7529411764705882,0.5019607843137255,0.7803921568627451,0
8,"('172.217.17.98', 443)",1398,52,1140.7115384615386,0.0,493.9571312970101,243993.6475591717,-1.5309587394653181,0.5171755152407127,114.0,871.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,109,569,52,75.73394495412845,0.0,98.37082455163953,9676.819122969448,4.3938747089343515,17.872763085770817,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,60.80000000000001,213,1398,52,595.7230046948357,11.860817748044816,638.3362053550059,407473.1110670282,0.40824576431786863,-1.776082382781028,52.0,52.0,52.0,52.0,60.0,569.0,1398.0,1398.0,1398.0,18127.0,1.1428571428571428,0.34992710611188266,7,30.428571428571427,1,0.6745098039215687,0.8509803921568627,0.06666666666666667,0.3843137254901961,0
9,"('54.230.129.143', 443)",98,52,77.66666666666667,22.239033277584028,19.154343864744856,366.8888888888889,-0.3960727278302712,-1.4999999999999998,58.2,64.4,70.6,76.80000000000001,83.0,86.0,89.0,92.0,95.0,3,52,52,52.0,0.0,0.0,0.0,0.0,-3.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,6,98,52,64.83333333333333,0.0,18.658480347790622,348.1388888888889,0.873019105295943,-1.0370346437642708,52.0,52.0,52.0,52.0,52.0,52.0,67.5,83.0,90.5,389.0,1.0,0.0,1,6.0,1,0.21176470588235294,0.9019607843137255,0.5058823529411764,0.5607843137254902,0
10,"('203.190.245.47', 443)",1398,52,481.0,382.51137237444533,518.5402588034992,268884.0,0.9869267410519367,-0.6313922927109279,52.0,56.800000000000004,66.0,123.60000000000005,318.0,433.2,493.19999999999993,867.6000000000004,1398.0,13,836,52,159.23076923076923,0.0,238.54596520333956,56904.17751479289,2.07797817669912,2.68380435116862,52.0,52.0,52.0,52.0,52.0,52.0,55.19999999999999,106.2000000000001,482.6000000000003,22,1398,52,290.8636363636364,5.930408874022408,410.6718769234969,168651.3904958678,1.7887578166075764,2.028805050723415,52.0,52.0,52.0,52.0,56.0,69.0,263.6999999999999,503.6,809.3000000000006,3199.5,2.5,0.5,2,11.0,1,0.796078431372549,0.7450980392156863,0.9607843137254902,0.1843137254901961,0
11,"('104.17.14.38', 443)",79,40,55.75,17.791226622067224,16.618889854620253,276.1875,0.2895264968595827,-1.6237779003737334,40.0,40.0,40.0,44.800000000000004,52.0,59.199999999999996,65.5,70.0,74.5,4,52,40,43.0,0.0,5.196152422706632,27.0,1.1547005383792515,-0.6666666666666665,40.0,40.0,40.0,40.0,40.0,40.0,41.199999999999996,44.800000000000004,48.4,8,79,40,49.375,0.0,13.864861160502112,192.234375,1.1737159670240207,-0.10899941081688835,40.0,40.0,40.0,40.0,40.0,42.400000000000006,50.79999999999999,59.2,68.5,395.0,1.0,0.0,1,8.0,1,0.40784313725490196,0.06666666666666667,0.054901960784313725,0.14901960784313725,0
12,"('199.166.0.26', 443)",1398,52,864.1818181818181,0.0,607.3768283119203,368906.6115702479,-0.3602904155020739,-1.7341096331967245,52.0,60.0,208.0,666.0,1398.0,1398.0,1398.0,1398.0,1398.0,96,1398,52,201.15625,0.0,338.5787183250066,114635.54850260417,2.323558385448948,4.237672336089786,52.0,52.0,52.0,52.0,52.0,52.0,64.0,103.0,617.5,217,1398,52,570.8617511520737,75.6127131437857,604.0364832136836,364860.0730531547,0.5052994649489883,-1.5990721979898725,52.0,52.0,52.0,60.0,103.0,587.1999999999998,1398.0,1398.0,1398.0,9529.0,1.3846153846153846,0.6249260311258432,13,16.692307692307693,1,0.7803921568627451,0.6509803921568628,0.0,0.10196078431372549,0
