,source,target,weight,id
0,"('87.248.116.13', 443)","('106.11.92.6', 80)",1,0
1,"('87.248.116.13', 443)","('152.199.19.43', 443)",2,0
2,"('87.248.116.13', 443)","('58.215.145.77', 80)",2,0
3,"('87.248.116.13', 443)","('205.204.101.182', 80)",1,0
4,"('87.248.116.13', 443)","('58.251.149.95', 80)",2,0
5,"('87.248.116.13', 443)","('188.72.201.137', 443)",1,0
6,"('87.248.116.13', 443)","('220.194.79.73', 80)",2,0
7,"('87.248.116.13', 443)","('27.221.28.204', 80)",1,0
8,"('87.248.116.13', 443)","('208.67.222.222', 53)",2,0
9,"('87.248.116.13', 443)","('116.253.191.237', 80)",2,0
10,"('87.248.116.13', 443)","('175.6.235.233', 80)",2,0
11,"('87.248.116.13', 443)","('172.217.17.110', 80)",1,0
12,"('87.248.116.13', 443)","('172.217.17.68', 80)",2,0
13,"('87.248.116.13', 443)","('172.217.17.68', 443)",2,0
14,"('87.248.116.13', 443)","('188.72.202.162', 443)",1,0
15,"('87.248.116.13', 443)","('172.217.168.206', 443)",2,0
16,"('87.248.116.13', 443)","('119.146.74.49', 80)",1,0
17,"('87.248.116.13', 443)","('223.111.24.105', 80)",2,0
18,"('87.248.116.13', 443)","('119.146.74.49', 443)",1,0
19,"('87.248.116.13', 443)","('112.132.32.105', 80)",2,0
20,"('87.248.116.13', 443)","('203.119.206.97', 80)",1,0
21,"('87.248.116.13', 443)","('101.37.178.168', 80)",2,0
22,"('87.248.116.13', 443)","('47.99.14.52', 80)",2,0
23,"('87.248.116.13', 443)","('172.217.19.200', 443)",2,0
24,"('87.248.116.13', 443)","('101.37.178.168', 443)",2,0
25,"('106.11.92.6', 80)","('152.199.19.43', 443)",1,0
26,"('106.11.92.6', 80)","('58.215.145.77', 80)",1,0
27,"('106.11.92.6', 80)","('205.204.101.182', 80)",1,0
28,"('106.11.92.6', 80)","('58.251.149.95', 80)",1,0
29,"('106.11.92.6', 80)","('188.72.201.137', 443)",1,0
30,"('106.11.92.6', 80)","('220.194.79.73', 80)",1,0
31,"('106.11.92.6', 80)","('27.221.28.204', 80)",1,0
32,"('106.11.92.6', 80)","('208.67.222.222', 53)",1,0
33,"('106.11.92.6', 80)","('116.253.191.237', 80)",1,0
34,"('106.11.92.6', 80)","('175.6.235.233', 80)",1,0
35,"('106.11.92.6', 80)","('172.217.17.110', 80)",1,0
36,"('106.11.92.6', 80)","('172.217.17.68', 80)",1,0
37,"('106.11.92.6', 80)","('172.217.17.68', 443)",1,0
38,"('106.11.92.6', 80)","('188.72.202.162', 443)",1,0
39,"('106.11.92.6', 80)","('172.217.168.206', 443)",1,0
40,"('106.11.92.6', 80)","('119.146.74.49', 80)",1,0
41,"('106.11.92.6', 80)","('223.111.24.105', 80)",1,0
42,"('106.11.92.6', 80)","('119.146.74.49', 443)",1,0
43,"('106.11.92.6', 80)","('112.132.32.105', 80)",1,0
44,"('106.11.92.6', 80)","('203.119.206.97', 80)",1,0
45,"('106.11.92.6', 80)","('101.37.178.168', 80)",1,0
46,"('106.11.92.6', 80)","('47.99.14.52', 80)",1,0
47,"('106.11.92.6', 80)","('172.217.19.200', 443)",1,0
48,"('106.11.92.6', 80)","('101.37.178.168', 443)",1,0
49,"('152.199.19.43', 443)","('58.215.145.77', 80)",2,0
50,"('152.199.19.43', 443)","('205.204.101.182', 80)",1,0
51,"('152.199.19.43', 443)","('58.251.149.95', 80)",2,0
52,"('152.199.19.43', 443)","('188.72.201.137', 443)",1,0
53,"('152.199.19.43', 443)","('220.194.79.73', 80)",2,0
54,"('152.199.19.43', 443)","('27.221.28.204', 80)",1,0
55,"('152.199.19.43', 443)","('208.67.222.222', 53)",2,0
56,"('152.199.19.43', 443)","('116.253.191.237', 80)",2,0
57,"('152.199.19.43', 443)","('175.6.235.233', 80)",2,0
58,"('152.199.19.43', 443)","('172.217.17.110', 80)",1,0
59,"('152.199.19.43', 443)","('172.217.17.68', 80)",2,0
60,"('152.199.19.43', 443)","('172.217.17.68', 443)",2,0
61,"('152.199.19.43', 443)","('188.72.202.162', 443)",1,0
62,"('152.199.19.43', 443)","('172.217.168.206', 443)",2,0
63,"('152.199.19.43', 443)","('119.146.74.49', 80)",1,0
64,"('152.199.19.43', 443)","('223.111.24.105', 80)",2,0
65,"('152.199.19.43', 443)","('119.146.74.49', 443)",1,0
66,"('152.199.19.43', 443)","('112.132.32.105', 80)",2,0
67,"('152.199.19.43', 443)","('203.119.206.97', 80)",1,0
68,"('152.199.19.43', 443)","('101.37.178.168', 80)",2,0
69,"('152.199.19.43', 443)","('47.99.14.52', 80)",2,0
70,"('152.199.19.43', 443)","('172.217.19.200', 443)",2,0
71,"('152.199.19.43', 443)","('101.37.178.168', 443)",2,0
72,"('58.215.145.77', 80)","('205.204.101.182', 80)",1,0
73,"('58.215.145.77', 80)","('58.251.149.95', 80)",3,0
74,"('58.215.145.77', 80)","('188.72.201.137', 443)",1,0
75,"('58.215.145.77', 80)","('220.194.79.73', 80)",3,0
76,"('58.215.145.77', 80)","('27.221.28.204', 80)",1,0
77,"('58.215.145.77', 80)","('208.67.222.222', 53)",3,0
78,"('58.215.145.77', 80)","('116.253.191.237', 80)",3,0
79,"('58.215.145.77', 80)","('175.6.235.233', 80)",3,0
80,"('58.215.145.77', 80)","('172.217.17.110', 80)",1,0
81,"('58.215.145.77', 80)","('172.217.17.68', 80)",3,0
82,"('58.215.145.77', 80)","('172.217.17.68', 443)",2,0
83,"('58.215.145.77', 80)","('188.72.202.162', 443)",1,0
84,"('58.215.145.77', 80)","('172.217.168.206', 443)",2,0
85,"('58.215.145.77', 80)","('119.146.74.49', 80)",1,0
86,"('58.215.145.77', 80)","('223.111.24.105', 80)",3,0
87,"('58.215.145.77', 80)","('119.146.74.49', 443)",1,0
88,"('58.215.145.77', 80)","('112.132.32.105', 80)",3,0
89,"('58.215.145.77', 80)","('203.119.206.97', 80)",1,0
90,"('58.215.145.77', 80)","('101.37.178.168', 80)",3,0
91,"('58.215.145.77', 80)","('47.99.14.52', 80)",3,0
92,"('58.215.145.77', 80)","('172.217.19.200', 443)",2,0
93,"('58.215.145.77', 80)","('101.37.178.168', 443)",3,0
94,"('205.204.101.182', 80)","('58.251.149.95', 80)",1,0
95,"('205.204.101.182', 80)","('188.72.201.137', 443)",1,0
96,"('205.204.101.182', 80)","('220.194.79.73', 80)",1,0
97,"('205.204.101.182', 80)","('27.221.28.204', 80)",1,0
98,"('205.204.101.182', 80)","('208.67.222.222', 53)",1,0
99,"('205.204.101.182', 80)","('116.253.191.237', 80)",1,0
100,"('205.204.101.182', 80)","('175.6.235.233', 80)",1,0
101,"('205.204.101.182', 80)","('172.217.17.110', 80)",1,0
102,"('205.204.101.182', 80)","('172.217.17.68', 80)",1,0
103,"('205.204.101.182', 80)","('172.217.17.68', 443)",1,0
104,"('205.204.101.182', 80)","('188.72.202.162', 443)",1,0
105,"('205.204.101.182', 80)","('172.217.168.206', 443)",1,0
106,"('205.204.101.182', 80)","('119.146.74.49', 80)",1,0
107,"('205.204.101.182', 80)","('223.111.24.105', 80)",1,0
108,"('205.204.101.182', 80)","('119.146.74.49', 443)",1,0
109,"('205.204.101.182', 80)","('112.132.32.105', 80)",1,0
110,"('205.204.101.182', 80)","('203.119.206.97', 80)",1,0
111,"('205.204.101.182', 80)","('101.37.178.168', 80)",1,0
112,"('205.204.101.182', 80)","('47.99.14.52', 80)",1,0
113,"('205.204.101.182', 80)","('172.217.19.200', 443)",1,0
114,"('205.204.101.182', 80)","('101.37.178.168', 443)",1,0
115,"('58.251.149.95', 80)","('188.72.201.137', 443)",1,0
116,"('58.251.149.95', 80)","('220.194.79.73', 80)",3,0
117,"('58.251.149.95', 80)","('27.221.28.204', 80)",1,0
118,"('58.251.149.95', 80)","('208.67.222.222', 53)",3,0
119,"('58.251.149.95', 80)","('116.253.191.237', 80)",3,0
120,"('58.251.149.95', 80)","('175.6.235.233', 80)",3,0
121,"('58.251.149.95', 80)","('172.217.17.110', 80)",1,0
122,"('58.251.149.95', 80)","('172.217.17.68', 80)",3,0
123,"('58.251.149.95', 80)","('172.217.17.68', 443)",2,0
124,"('58.251.149.95', 80)","('188.72.202.162', 443)",1,0
125,"('58.251.149.95', 80)","('172.217.168.206', 443)",2,0
126,"('58.251.149.95', 80)","('119.146.74.49', 80)",1,0
127,"('58.251.149.95', 80)","('223.111.24.105', 80)",3,0
128,"('58.251.149.95', 80)","('119.146.74.49', 443)",1,0
129,"('58.251.149.95', 80)","('112.132.32.105', 80)",3,0
130,"('58.251.149.95', 80)","('203.119.206.97', 80)",1,0
131,"('58.251.149.95', 80)","('101.37.178.168', 80)",3,0
132,"('58.251.149.95', 80)","('47.99.14.52', 80)",3,0
133,"('58.251.149.95', 80)","('172.217.19.200', 443)",2,0
134,"('58.251.149.95', 80)","('101.37.178.168', 443)",3,0
135,"('188.72.201.137', 443)","('220.194.79.73', 80)",1,0
136,"('188.72.201.137', 443)","('27.221.28.204', 80)",1,0
137,"('188.72.201.137', 443)","('208.67.222.222', 53)",1,0
138,"('188.72.201.137', 443)","('116.253.191.237', 80)",1,0
139,"('188.72.201.137', 443)","('175.6.235.233', 80)",1,0
140,"('188.72.201.137', 443)","('172.217.17.110', 80)",1,0
141,"('188.72.201.137', 443)","('172.217.17.68', 80)",1,0
142,"('188.72.201.137', 443)","('172.217.17.68', 443)",1,0
143,"('188.72.201.137', 443)","('188.72.202.162', 443)",1,0
144,"('188.72.201.137', 443)","('172.217.168.206', 443)",1,0
145,"('188.72.201.137', 443)","('119.146.74.49', 80)",1,0
146,"('188.72.201.137', 443)","('223.111.24.105', 80)",1,0
147,"('188.72.201.137', 443)","('119.146.74.49', 443)",1,0
148,"('188.72.201.137', 443)","('112.132.32.105', 80)",1,0
149,"('188.72.201.137', 443)","('203.119.206.97', 80)",1,0
150,"('188.72.201.137', 443)","('101.37.178.168', 80)",1,0
151,"('188.72.201.137', 443)","('47.99.14.52', 80)",1,0
152,"('188.72.201.137', 443)","('172.217.19.200', 443)",1,0
153,"('188.72.201.137', 443)","('101.37.178.168', 443)",1,0
154,"('220.194.79.73', 80)","('27.221.28.204', 80)",1,0
155,"('220.194.79.73', 80)","('208.67.222.222', 53)",3,0
156,"('220.194.79.73', 80)","('116.253.191.237', 80)",3,0
157,"('220.194.79.73', 80)","('175.6.235.233', 80)",3,0
158,"('220.194.79.73', 80)","('172.217.17.110', 80)",1,0
159,"('220.194.79.73', 80)","('172.217.17.68', 80)",3,0
160,"('220.194.79.73', 80)","('172.217.17.68', 443)",2,0
161,"('220.194.79.73', 80)","('188.72.202.162', 443)",1,0
162,"('220.194.79.73', 80)","('172.217.168.206', 443)",2,0
163,"('220.194.79.73', 80)","('119.146.74.49', 80)",1,0
164,"('220.194.79.73', 80)","('223.111.24.105', 80)",3,0
165,"('220.194.79.73', 80)","('119.146.74.49', 443)",1,0
166,"('220.194.79.73', 80)","('112.132.32.105', 80)",3,0
167,"('220.194.79.73', 80)","('203.119.206.97', 80)",1,0
168,"('220.194.79.73', 80)","('101.37.178.168', 80)",3,0
169,"('220.194.79.73', 80)","('47.99.14.52', 80)",3,0
170,"('220.194.79.73', 80)","('172.217.19.200', 443)",2,0
171,"('220.194.79.73', 80)","('101.37.178.168', 443)",3,0
172,"('27.221.28.204', 80)","('208.67.222.222', 53)",1,0
173,"('27.221.28.204', 80)","('116.253.191.237', 80)",1,0
174,"('27.221.28.204', 80)","('175.6.235.233', 80)",1,0
175,"('27.221.28.204', 80)","('172.217.17.110', 80)",1,0
176,"('27.221.28.204', 80)","('172.217.17.68', 80)",1,0
177,"('27.221.28.204', 80)","('172.217.17.68', 443)",1,0
178,"('27.221.28.204', 80)","('188.72.202.162', 443)",1,0
179,"('27.221.28.204', 80)","('172.217.168.206', 443)",1,0
180,"('27.221.28.204', 80)","('119.146.74.49', 80)",1,0
181,"('27.221.28.204', 80)","('223.111.24.105', 80)",1,0
182,"('27.221.28.204', 80)","('119.146.74.49', 443)",1,0
183,"('27.221.28.204', 80)","('112.132.32.105', 80)",1,0
184,"('27.221.28.204', 80)","('203.119.206.97', 80)",1,0
185,"('27.221.28.204', 80)","('101.37.178.168', 80)",1,0
186,"('27.221.28.204', 80)","('47.99.14.52', 80)",1,0
187,"('27.221.28.204', 80)","('172.217.19.200', 443)",1,0
188,"('27.221.28.204', 80)","('101.37.178.168', 443)",1,0
189,"('208.67.222.222', 53)","('116.253.191.237', 80)",3,0
190,"('208.67.222.222', 53)","('175.6.235.233', 80)",3,0
191,"('208.67.222.222', 53)","('172.217.17.110', 80)",1,0
192,"('208.67.222.222', 53)","('172.217.17.68', 80)",3,0
193,"('208.67.222.222', 53)","('172.217.17.68', 443)",12,0
194,"('208.67.222.222', 53)","('188.72.202.162', 443)",1,0
195,"('208.67.222.222', 53)","('172.217.168.206', 443)",19,0
196,"('208.67.222.222', 53)","('119.146.74.49', 80)",1,0
197,"('208.67.222.222', 53)","('223.111.24.105', 80)",3,0
198,"('208.67.222.222', 53)","('119.146.74.49', 443)",1,0
199,"('208.67.222.222', 53)","('112.132.32.105', 80)",3,0
200,"('208.67.222.222', 53)","('203.119.206.97', 80)",1,0
201,"('208.67.222.222', 53)","('101.37.178.168', 80)",3,0
202,"('208.67.222.222', 53)","('47.99.14.52', 80)",3,0
203,"('208.67.222.222', 53)","('172.217.19.200', 443)",2,0
204,"('208.67.222.222', 53)","('101.37.178.168', 443)",3,0
205,"('116.253.191.237', 80)","('175.6.235.233', 80)",3,0
206,"('116.253.191.237', 80)","('172.217.17.110', 80)",1,0
207,"('116.253.191.237', 80)","('172.217.17.68', 80)",3,0
208,"('116.253.191.237', 80)","('172.217.17.68', 443)",2,0
209,"('116.253.191.237', 80)","('188.72.202.162', 443)",1,0
210,"('116.253.191.237', 80)","('172.217.168.206', 443)",2,0
211,"('116.253.191.237', 80)","('119.146.74.49', 80)",1,0
212,"('116.253.191.237', 80)","('223.111.24.105', 80)",3,0
213,"('116.253.191.237', 80)","('119.146.74.49', 443)",1,0
214,"('116.253.191.237', 80)","('112.132.32.105', 80)",3,0
215,"('116.253.191.237', 80)","('203.119.206.97', 80)",1,0
216,"('116.253.191.237', 80)","('101.37.178.168', 80)",3,0
217,"('116.253.191.237', 80)","('47.99.14.52', 80)",3,0
218,"('116.253.191.237', 80)","('172.217.19.200', 443)",2,0
219,"('116.253.191.237', 80)","('101.37.178.168', 443)",3,0
220,"('175.6.235.233', 80)","('172.217.17.110', 80)",1,0
221,"('175.6.235.233', 80)","('172.217.17.68', 80)",3,0
222,"('175.6.235.233', 80)","('172.217.17.68', 443)",2,0
223,"('175.6.235.233', 80)","('188.72.202.162', 443)",1,0
224,"('175.6.235.233', 80)","('172.217.168.206', 443)",2,0
225,"('175.6.235.233', 80)","('119.146.74.49', 80)",1,0
226,"('175.6.235.233', 80)","('223.111.24.105', 80)",3,0
227,"('175.6.235.233', 80)","('119.146.74.49', 443)",1,0
228,"('175.6.235.233', 80)","('112.132.32.105', 80)",3,0
229,"('175.6.235.233', 80)","('203.119.206.97', 80)",1,0
230,"('175.6.235.233', 80)","('101.37.178.168', 80)",3,0
231,"('175.6.235.233', 80)","('47.99.14.52', 80)",3,0
232,"('175.6.235.233', 80)","('172.217.19.200', 443)",2,0
233,"('175.6.235.233', 80)","('101.37.178.168', 443)",3,0
234,"('172.217.17.110', 80)","('172.217.17.68', 80)",1,0
235,"('172.217.17.110', 80)","('172.217.17.68', 443)",1,0
236,"('172.217.17.110', 80)","('188.72.202.162', 443)",1,0
237,"('172.217.17.110', 80)","('172.217.168.206', 443)",1,0
238,"('172.217.17.110', 80)","('119.146.74.49', 80)",1,0
239,"('172.217.17.110', 80)","('223.111.24.105', 80)",1,0
240,"('172.217.17.110', 80)","('119.146.74.49', 443)",1,0
241,"('172.217.17.110', 80)","('112.132.32.105', 80)",1,0
242,"('172.217.17.110', 80)","('203.119.206.97', 80)",1,0
243,"('172.217.17.110', 80)","('101.37.178.168', 80)",1,0
244,"('172.217.17.110', 80)","('47.99.14.52', 80)",1,0
245,"('172.217.17.110', 80)","('172.217.19.200', 443)",1,0
246,"('172.217.17.110', 80)","('101.37.178.168', 443)",1,0
