,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('216.137.59.106', 443)",1398,52,1286.032640949555,0.0,353.7211119615679,125118.62504732805,-2.9678643432695004,7.0377900109507685,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,431,720,52,75.79118329466357,0.0,110.51891111230242,12214.429713449003,4.835705784722499,21.939133702133912,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1105,1398,52,813.9837104072399,0.0,655.3959666017305,429543.8730378166,-0.25854888823925765,-1.9039849381473728,52.0,52.0,52.0,86.0,1398.0,1398.0,1398.0,1398.0,1398.0,179890.4,1.8,1.1661903789690604,5,221.0,1,0.8470588235294118,0.5372549019607843,0.23137254901960785,0.41568627450980394,0
1,"('88.212.240.204', 443)",1398,52,705.0714285714286,667.9122994367737,616.2257777662936,379734.2091836735,0.15341336836216762,-1.8532416802757892,54.400000000000006,78.0,101.69999999999999,190.60000000000008,502.5,1225.6,1398.0,1398.0,1398.0,14,569,52,131.14285714285714,0.0,143.14720552277504,20491.122448979597,2.0676585571940107,3.447059946246875,52.0,52.0,52.0,52.0,52.0,58.39999999999999,98.79999999999997,198.40000000000003,274.5000000000001,28,1398,52,418.10714285714283,65.97579872349928,531.4707584541568,282461.1670918367,1.1698446111238057,-0.4078680608487324,52.0,52.0,52.0,60.0,96.5,188.19999999999996,451.4999999999998,1066.4000000000012,1398.0,11707.0,2.0,0.0,1,28.0,1,0.34509803921568627,0.8313725490196079,0.9411764705882353,0.8,0
2,"('212.193.156.138', 443)",1398,52,1325.8096980786825,0.0,288.85681928395576,83438.26204684387,-3.8583054600748476,13.132936147155501,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,665,569,40,74.41203007518797,17.791226622067224,57.082279406087,3258.3866221945837,6.4326736891629634,49.417081953904336,52.0,52.0,52.0,52.0,64.0,72.0,72.0,72.0,80.0,1758,1398,40,852.4425483503982,0.0,649.1553344863054,421402.64829202695,-0.3610836922635405,-1.8556854556307134,52.0,64.0,72.0,283.00000000000273,1398.0,1398.0,1398.0,1398.0,1398.0,299718.8,2.0,1.2649110640673518,5,351.6,1,0.8313725490196079,0.7568627450980392,0.611764705882353,0.5411764705882353,0
3,"('216.137.59.160', 443)",1398,52,533.468085106383,102.29955307688654,582.9557974215514,339837.4617473969,0.6904599150063686,-1.3660977405907546,52.0,52.0,60.0,90.0,121.0,386.7999999999997,878.8999999999976,1398.0,1398.0,116,602,52,113.82758620689656,0.0,134.33137589314723,18044.918549346017,2.542118962182242,5.626153166215678,52.0,52.0,52.0,52.0,52.0,52.0,62.0,178.0,246.0,210,1398,52,301.6666666666667,11.860817748044816,453.46086441451104,205626.75555555554,1.7879269579369743,1.5731171047401702,52.0,52.0,52.0,52.0,60.0,90.0,199.7999999999999,471.00000000000125,1398.0,9050.0,1.5714285714285714,1.049781318335648,7,30.0,1,0.8470588235294118,0.5372549019607843,0.23137254901960785,0.6274509803921569,0
4,"('203.76.218.7', 80)",1320,40,810.1176470588235,0.0,611.936356009535,374466.1038062284,-0.38110520127631087,-1.8303869425672625,40.0,44.0,60.0,703.2000000000004,1320.0,1320.0,1320.0,1320.0,1320.0,21,396,40,75.42857142857143,0.0,102.88253654790307,10584.81632653061,2.7425536189628237,5.557113997091372,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,60.0,38,1320,40,404.10526315789474,0.0,553.9139107285671,306820.620498615,1.0072540275400832,-0.9139893103915808,40.0,40.0,40.0,40.0,40.0,60.0,378.39999999999986,1320.0,1320.0,7678.0,1.5,0.5,2,19.0,1,0.796078431372549,0.2980392156862745,0.8549019607843137,0.027450980392156862,0
5,"('204.155.148.9', 443)",1398,52,862.2083333333334,0.0,618.5916113214131,382655.5815972222,-0.40541312797907136,-1.7230684949021149,52.0,52.0,100.49999999999997,857.8,1398.0,1398.0,1398.0,1398.0,1398.0,22,569,40,112.04545454545455,0.0,150.6360687438821,22691.225206611573,2.222111648986692,3.2132758364682994,41.2,52.0,52.0,52.0,52.0,52.0,52.0,58.400000000000006,365.1000000000006,46,1398,40,503.4347826086956,23.721635496089633,592.3840430348745,350918.854442344,0.7269883608903469,-1.3306283827847405,52.0,52.0,52.0,52.0,56.0,318.0,862.0,1398.0,1398.0,3859.6666666666665,1.3333333333333333,0.4714045207910317,6,7.666666666666667,1,0.8,0.6078431372549019,0.5803921568627451,0.03529411764705882,0
6,"('95.100.67.47', 443)",1398,52,1251.8987341772151,0.0,393.4771267035786,154824.24923890404,-2.500789216046758,4.462081740321255,480.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,112,569,40,78.55357142857143,0.0,88.24457078460513,7787.1042729591845,4.248748368442943,18.944646275531557,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,165.0,428,1398,40,944.8551401869158,0.0,618.3361436082077,382339.5864922701,-0.6787961429359058,-1.4991524618333716,52.0,52.0,165.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,101099.5,2.0,0.7071067811865476,4,107.0,1,0.37254901960784315,0.39215686274509803,0.2627450980392157,0.1843137254901961,0
7,"('34.235.24.163', 443)",1398,52,389.4596774193548,60.78669095872968,500.08932104100234,250089.3290192507,1.2960847132978954,-0.029819353228435208,52.0,52.0,52.0,60.0,93.0,207.39999999999998,471.0,476.0,1340.0,155,1349,40,198.38709677419354,0.0,344.2293006796632,118493.81144640996,2.4925387418388945,5.0666156366719655,40.0,52.0,52.0,52.0,52.0,52.0,60.0,178.0,569.0,279,1398,40,283.30824372759855,11.860817748044816,431.2716193367036,185995.20964530262,1.836856671062494,1.837208260146876,52.0,52.0,52.0,52.0,52.0,83.0,178.0,473.0,1339.1999999999998,13173.833333333334,2.6666666666666665,0.9428090415820634,6,46.5,1,0.13333333333333333,0.9215686274509803,0.09411764705882353,0.6392156862745098,0
8,"('23.62.124.104', 443)",1398,52,595.8181818181819,360.2723390968613,612.2793210146401,374885.9669421487,0.5106044962233514,-1.671726820952825,52.0,60.0,83.0,110.0,295.0,310.0,1398.0,1398.0,1398.0,15,569,40,95.86666666666666,0.0,130.54085780151573,17040.91555555555,3.156034999512,8.52717412915758,44.8,52.0,52.0,52.0,52.0,52.0,52.0,64.60000000000002,139.99999999999997,26,1398,40,307.38461538461536,14.82602218505602,479.0049844708602,229445.77514792906,1.7226706708455868,1.189971144964602,52.0,52.0,52.0,52.0,56.0,83.0,144.0,310.0,1398.0,3996.0,1.0,0.0,2,13.0,1,0.09019607843137255,0.24313725490196078,0.48627450980392156,0.40784313725490196,0
9,"('216.137.59.129', 443)",1398,52,423.92452830188677,56.33888430321287,550.1010833030532,302611.2018511926,1.0988899216563812,-0.6462461052420059,52.0,52.0,52.0,60.0,90.0,136.19999999999993,361.9999999999998,1398.0,1398.0,56,598,52,128.80357142857142,0.0,146.75263682747348,21536.336415816324,2.1795220730462246,3.608463584771643,52.0,52.0,52.0,52.0,52.0,83.0,94.0,178.0,345.0,109,1398,52,272.302752293578,11.860817748044816,424.22089417736714,179963.36705664493,2.028036470795139,2.5711238553241307,52.0,52.0,52.0,52.0,60.0,90.0,155.19999999999968,339.20000000000033,1398.0,7420.25,2.25,0.4330127018922193,4,27.25,1,0.8470588235294118,0.5372549019607843,0.23137254901960785,0.5058823529411764,0
