,source,target,weight,id
0,"('93.184.220.66', 443)","('151.101.38.66', 443)",1,0
1,"('93.184.220.66', 443)","('216.137.59.117', 443)",1,0
2,"('93.184.220.66', 443)","('104.244.42.5', 443)",2,0
3,"('93.184.220.66', 443)","('172.217.17.66', 443)",2,0
4,"('93.184.220.66', 443)","('216.137.59.76', 443)",2,0
5,"('93.184.220.66', 443)","('34.199.78.214', 443)",1,0
6,"('93.184.220.66', 443)","('54.194.184.41', 443)",1,0
7,"('93.184.220.66', 443)","('195.181.173.109', 443)",1,0
8,"('93.184.220.66', 443)","('151.101.38.49', 443)",1,0
9,"('93.184.220.66', 443)","('172.217.168.230', 443)",2,0
10,"('93.184.220.66', 443)","('104.102.4.111', 443)",1,0
11,"('93.184.220.66', 443)","('35.186.234.100', 443)",1,0
12,"('93.184.220.66', 443)","('31.13.64.21', 443)",2,0
13,"('93.184.220.66', 443)","('216.137.59.157', 443)",1,0
14,"('93.184.220.66', 443)","('172.217.168.195', 443)",2,0
15,"('93.184.220.66', 443)","('151.101.86.91', 443)",1,0
16,"('93.184.220.66', 443)","('151.101.0.175', 443)",2,0
17,"('93.184.220.66', 443)","('35.186.226.184', 443)",1,0
18,"('93.184.220.66', 443)","('103.64.14.21', 443)",1,0
19,"('93.184.220.66', 443)","('151.101.62.91', 443)",1,0
20,"('93.184.220.66', 443)","('104.156.87.91', 443)",1,0
21,"('93.184.220.66', 443)","('103.243.172.110', 443)",1,0
22,"('93.184.220.66', 443)","('103.64.14.13', 443)",1,0
23,"('93.184.220.66', 443)","('104.199.64.136', 443)",1,0
24,"('93.184.220.66', 443)","('34.255.28.155', 443)",1,0
25,"('93.184.220.66', 443)","('121.42.17.238', 443)",1,0
26,"('93.184.220.66', 443)","('151.101.36.246', 443)",1,0
27,"('93.184.220.66', 443)","('147.75.102.200', 443)",1,0
28,"('93.184.220.66', 443)","('151.101.1.194', 443)",1,0
29,"('93.184.220.66', 443)","('141.0.168.15', 443)",1,0
30,"('93.184.220.66', 443)","('52.85.252.230', 443)",1,0
31,"('93.184.220.66', 443)","('103.64.14.20', 443)",1,0
32,"('93.184.220.66', 443)","('151.101.114.91', 443)",1,0
33,"('93.184.220.66', 443)","('208.67.222.222', 53)",2,0
34,"('93.184.220.66', 443)","('151.101.70.91', 443)",1,0
35,"('93.184.220.66', 443)","('104.244.46.80', 443)",2,0
36,"('93.184.220.66', 443)","('104.199.240.211', 443)",1,0
37,"('93.184.220.66', 443)","('151.101.130.66', 443)",1,0
38,"('93.184.220.66', 443)","('104.123.104.241', 443)",1,0
39,"('93.184.220.66', 443)","('104.156.83.91', 443)",1,0
40,"('93.184.220.66', 443)","('87.248.116.12', 443)",2,0
41,"('93.184.220.66', 443)","('172.217.17.98', 443)",2,0
42,"('93.184.220.66', 443)","('66.117.29.227', 80)",1,0
43,"('93.184.220.66', 443)","('31.13.64.35', 443)",2,0
44,"('93.184.220.66', 443)","('172.217.17.68', 443)",2,0
45,"('93.184.220.66', 443)","('52.210.34.59', 443)",1,0
46,"('93.184.220.66', 443)","('172.217.168.206', 443)",1,0
47,"('93.184.220.66', 443)","('34.202.253.115', 443)",1,0
48,"('93.184.220.66', 443)","('23.37.52.132', 443)",1,0
49,"('93.184.220.66', 443)","('54.192.13.238', 443)",1,0
50,"('93.184.220.66', 443)","('199.232.6.91', 443)",1,0
51,"('93.184.220.66', 443)","('151.101.38.91', 443)",1,0
52,"('93.184.220.66', 443)","('2.18.162.235', 443)",1,0
53,"('93.184.220.66', 443)","('23.235.39.91', 443)",1,0
54,"('93.184.220.66', 443)","('18.195.91.221', 443)",1,0
55,"('93.184.220.66', 443)","('152.195.133.75', 443)",1,0
