,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('94.31.29.138', 443)",1398,40,1282.7487684729065,0.0,357.09137097883973,127514.24722754736,-2.8729163132864435,6.46959155881602,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,85,508,40,55.31764705882353,0.0,59.46055771581218,3535.5579238754312,5.7853073033403675,38.128333543988774,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,70.80000000000015,288,1398,40,920.4861111111111,0.0,635.8785587466882,404341.54147376545,-0.6008899121985606,-1.612871982880603,40.0,40.0,88.29999999999987,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,88366.66666666667,1.6666666666666667,0.9428090415820634,3,96.0,1,0.3686274509803922,0.12156862745098039,0.11372549019607843,0.5411764705882353,0
1,"('54.230.14.198', 443)",1398,52,1202.2432432432433,0.0,431.45557570356834,186153.91380569758,-1.938389797939799,2.05396233540334,325.6,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,39,516,52,72.8974358974359,0.0,81.85252369017718,6699.835634451016,4.459584188212586,19.938652888627633,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.60000000000002,76,1398,52,622.7105263157895,11.860817748044816,642.4175518631384,412700.31094182824,0.32748306726810916,-1.8374694704704426,52.0,52.0,52.0,52.0,60.0,954.0,1398.0,1398.0,1398.0,47326.0,2.0,0.0,1,76.0,1,0.21176470588235294,0.9019607843137255,0.054901960784313725,0.7764705882352941,0
2,"('3.0.215.239', 443)",1398,52,843.1684210526316,0.0,627.9740130833704,394351.3611080331,-0.32029811708451056,-1.8449591642786198,52.0,83.0,106.6,310.0,1398.0,1398.0,1398.0,1398.0,1398.0,105,354,40,75.11428571428571,0.0,63.18955825220528,3992.920272108844,2.8589567296797864,7.536818285926882,52.0,52.0,52.0,52.0,52.0,52.0,52.0,60.0,164.8000000000003,200,1398,40,439.94,14.084721075803218,580.104539199617,336521.2763999999,0.9868555731717895,-0.965871462667709,52.0,52.0,52.0,52.0,60.0,110.19999999999985,310.0,1398.0,1398.0,14664.666666666666,1.6666666666666667,1.1055415967851332,6,33.333333333333336,1,0.011764705882352941,0.0,0.8431372549019608,0.9372549019607843,0
3,"('34.243.185.142', 443)",1398,52,580.9090909090909,85.99092867332492,594.1156077497888,352973.35537190083,0.46378233588305334,-1.6478833298603461,52.0,60.0,83.0,103.0,110.0,563.0,1173.0,1398.0,1398.0,15,1352,52,161.2,0.0,323.3869096505505,104579.0933333333,3.2999814536783667,9.267387755041907,52.0,52.0,52.0,52.0,52.0,52.0,52.0,83.60000000000014,224.79999999999995,26,1398,52,338.7692307692308,5.930408874022408,502.65849453697444,252665.56213017757,1.453887379992719,0.27026823022150825,52.0,52.0,52.0,52.0,56.0,83.0,144.0,563.0,1375.0,2202.0,1.0,0.0,4,6.5,1,0.13333333333333333,0.9529411764705882,0.7254901960784313,0.5568627450980392,0
4,"('2.20.176.180', 443)",1398,52,832.9285714285714,532.2541964435111,595.4050199276976,354507.13775510195,-0.2971519531494219,-1.746739262995635,52.0,80.00000000000003,206.59999999999997,714.0000000000003,1039.0,1398.0,1398.0,1398.0,1398.0,33,619,52,120.45454545454545,0.0,156.725796238563,24562.97520661157,2.3637733136946086,4.195509247499388,52.0,52.0,52.0,52.0,52.0,52.0,52.0,126.00000000000016,256.0,61,1398,52,447.4918032786885,11.860817748044816,549.6043471966027,302064.9384574038,0.9554305065017401,-0.8769649804914486,52.0,52.0,52.0,52.0,60.0,196.0,570.0,1398.0,1398.0,27297.0,2.0,0.0,1,61.0,1,0.00784313725490196,0.0784313725490196,0.6901960784313725,0.7058823529411765,0
5,"('18.182.219.65', 443)",1398,52,615.9130434782609,85.99092867332492,622.1383121100043,387056.0793950851,0.29008643677902224,-1.8756112132074025,52.0,55.2,60.0,99.60000000000002,110.0,1185.8,1223.0,1398.0,1398.0,27,642,52,120.70370370370371,0.0,158.64234519820448,25167.393689986275,2.6057858149714916,5.665119327833761,52.0,52.0,52.0,52.0,52.0,52.0,60.0,154.4000000000001,252.0,50,1398,52,348.5,11.860817748044816,502.5454108834345,252551.89,1.368684500561736,0.04364042665500101,52.0,52.0,52.0,52.0,60.0,92.79999999999998,178.0,750.2000000000016,1398.0,8712.5,2.0,1.0,2,25.0,1,0.07058823529411765,0.7137254901960784,0.8588235294117647,0.2549019607843137,0
6,"('54.209.200.130', 443)",98,52,71.25,22.98033438683683,19.967160539245434,398.6875,0.20403073329527927,-1.7327534664920494,52.0,52.0,52.0,58.20000000000001,67.5,76.8,84.5,89.0,93.5,2,52,52,52.0,0.0,0.0,0.0,0.0,-3.0,52.00000000000001,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,6,98,52,64.83333333333333,0.0,18.658480347790622,348.1388888888889,0.873019105295943,-1.0370346437642708,52.0,52.0,52.0,52.0,52.0,52.0,67.5,83.0,90.5,389.0,1.0,0.0,1,6.0,1,0.21176470588235294,0.8196078431372549,0.7843137254901961,0.5098039215686274,0
7,"('54.77.164.43', 443)",1398,52,241.6060606060606,0.0,399.2818507356745,159425.99632690544,2.2141670207194593,3.5035841964937573,52.0,52.0,52.0,52.0,52.0,60.0,97.0,185.80000000000007,642.1999999999999,29,1178,52,207.9655172413793,0.0,337.52154288932076,113920.7919143876,2.222324887241982,3.3565569037413185,52.0,52.0,52.0,52.0,52.0,58.400000000000006,85.79999999999991,220.00000000000023,680.1999999999996,62,1398,52,225.8709677419355,0.0,372.05247999012903,138423.04786680537,2.254928991803797,3.7144949291538722,52.0,52.0,52.0,52.0,52.0,60.0,97.0,201.2000000000001,642.6,14004.0,2.0,0.0,1,62.0,1,0.21176470588235294,0.30196078431372547,0.6431372549019608,0.16862745098039217,0
8,"('216.137.59.63', 443)",1398,52,1232.9855072463768,0.0,427.0764956343224,182394.33312329339,-2.214935366152493,2.9427434433506017,227.00000000000006,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,71,337,52,62.690140845070424,0.0,44.102502739271905,1945.030747867486,4.784680796387764,23.39919087069017,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,140,1398,52,639.4785714285714,56.33888430321287,658.185910209235,433208.69239795906,0.277934560600386,-1.9109706421294466,52.0,52.0,52.0,52.0,90.0,1398.0,1398.0,1398.0,1398.0,89527.0,2.0,0.0,1,140.0,1,0.8470588235294118,0.5372549019607843,0.23137254901960785,0.24705882352941178,0
9,"('52.30.113.91', 443)",1340,52,793.8947368421053,223.87293499434588,590.5257153576083,348720.62049861497,-0.3080340210248414,-1.78221999967207,52.0,56.800000000000004,91.0,604.4000000000001,1189.0,1340.0,1340.0,1340.0,1340.0,26,1398,52,280.7307692307692,0.0,445.50865982192914,198477.96597633138,1.6527332849987544,0.9930814927050253,52.0,52.0,52.0,52.0,52.0,52.0,56.0,254.0,1030.5,45,1398,52,497.4,11.860817748044816,571.0998511644001,326155.04,0.6399802764358209,-1.4680228722529505,52.0,52.0,52.0,52.0,60.0,208.3999999999999,1020.4,1340.0,1340.0,4476.6,1.2,0.4,5,9.0,1,0.20392156862745098,0.11764705882352941,0.44313725490196076,0.3568627450980392,0
