,source,target,weight,id
0,"('180.179.9.87', 443)","('172.217.20.66', 443)",8,0
1,"('180.179.9.87', 443)","('172.217.19.194', 443)",10,0
2,"('180.179.9.87', 443)","('172.217.17.34', 443)",6,0
3,"('180.179.9.87', 443)","('172.217.1.3', 443)",4,0
4,"('180.179.9.87', 443)","('172.217.17.130', 443)",1,0
5,"('180.179.9.87', 443)","('170.167.117.81', 443)",2,0
6,"('180.179.9.87', 443)","('216.58.211.110', 443)",3,0
7,"('180.179.9.87', 443)","('8.37.239.2', 443)",17,0
8,"('180.179.9.87', 443)","('202.137.235.27', 443)",1,0
9,"('180.179.9.87', 443)","('172.217.168.227', 443)",5,0
10,"('180.179.9.87', 443)","('157.185.188.1', 80)",18,0
11,"('180.179.9.87', 443)","('104.25.180.31', 443)",1,0
12,"('180.179.9.87', 443)","('198.11.132.39', 443)",9,0
13,"('180.179.9.87', 443)","('208.67.222.222', 53)",18,0
14,"('180.179.9.87', 443)","('8.37.239.4', 443)",12,0
15,"('180.179.9.87', 443)","('216.58.212.230', 443)",1,0
16,"('180.179.9.87', 443)","('93.184.220.42', 443)",1,0
17,"('180.179.9.87', 443)","('94.130.81.180', 443)",1,0
18,"('180.179.9.87', 443)","('172.217.17.68', 443)",10,0
19,"('180.179.9.87', 443)","('172.217.168.206', 443)",11,0
20,"('180.179.9.87', 443)","('216.58.211.106', 443)",11,0
21,"('180.179.9.87', 443)","('216.58.212.238', 443)",3,0
22,"('180.179.9.87', 443)","('172.217.168.194', 443)",11,0
23,"('180.179.9.87', 443)","('157.185.129.21', 80)",2,0
24,"('180.179.9.87', 443)","('202.137.237.29', 443)",1,0
25,"('180.179.9.87', 443)","('172.217.20.98', 443)",9,0
26,"('180.179.9.87', 443)","('104.110.206.138', 443)",1,0
27,"('180.179.9.87', 443)","('202.137.235.35', 443)",1,0
28,"('180.179.9.87', 443)","('119.252.154.10', 443)",1,0
29,"('180.179.9.87', 443)","('202.137.238.20', 443)",1,0
30,"('180.179.9.87', 443)","('172.217.168.232', 443)",9,0
31,"('180.179.9.87', 443)","('119.252.154.35', 443)",1,0
32,"('180.179.9.87', 443)","('172.217.20.104', 443)",2,0
33,"('180.179.9.87', 443)","('172.217.168.226', 443)",10,0
34,"('180.179.9.87', 443)","('119.252.154.22', 443)",1,0
35,"('172.217.20.66', 443)","('172.217.19.194', 443)",8,0
36,"('172.217.20.66', 443)","('172.217.17.34', 443)",5,0
37,"('172.217.20.66', 443)","('172.217.1.3', 443)",4,0
38,"('172.217.20.66', 443)","('172.217.17.130', 443)",1,0
39,"('172.217.20.66', 443)","('170.167.117.81', 443)",1,0
40,"('172.217.20.66', 443)","('216.58.211.110', 443)",2,0
41,"('172.217.20.66', 443)","('8.37.239.2', 443)",8,0
42,"('172.217.20.66', 443)","('202.137.235.27', 443)",1,0
43,"('172.217.20.66', 443)","('172.217.168.227', 443)",2,0
44,"('172.217.20.66', 443)","('157.185.188.1', 80)",9,0
45,"('172.217.20.66', 443)","('104.25.180.31', 443)",1,0
46,"('172.217.20.66', 443)","('198.11.132.39', 443)",5,0
47,"('172.217.20.66', 443)","('208.67.222.222', 53)",9,0
48,"('172.217.20.66', 443)","('8.37.239.4', 443)",6,0
49,"('172.217.20.66', 443)","('216.58.212.230', 443)",1,0
50,"('172.217.20.66', 443)","('93.184.220.42', 443)",1,0
51,"('172.217.20.66', 443)","('94.130.81.180', 443)",1,0
52,"('172.217.20.66', 443)","('172.217.17.68', 443)",7,0
53,"('172.217.20.66', 443)","('172.217.168.206', 443)",6,0
54,"('172.217.20.66', 443)","('216.58.211.106', 443)",5,0
55,"('172.217.20.66', 443)","('216.58.212.238', 443)",1,0
56,"('172.217.20.66', 443)","('172.217.168.194', 443)",7,0
57,"('172.217.20.66', 443)","('157.185.129.21', 80)",1,0
58,"('172.217.20.66', 443)","('202.137.237.29', 443)",1,0
