,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('18.153.11.16', 443)",1398,52,600.8333333333334,524.8411853509831,585.189546690263,342446.80555555556,0.5018881227029357,-1.54161216467734,52.0,53.60000000000001,66.9,173.80000000000007,406.0,505.0,1130.6999999999994,1398.0,1398.0,14,912,52,159.92857142857142,0.0,247.81169818049756,61410.63775510202,2.254197192689698,3.61724461402385,52.0,52.0,52.0,52.0,52.0,52.0,52.8,107.20000000000005,451.7000000000004,26,1398,52,363.4230769230769,5.930408874022408,489.3171987636621,239431.32100591715,1.3564016425818008,0.23535807963849198,52.0,52.0,52.0,52.0,56.0,83.0,406.0,569.0,1398.0,3149.6666666666665,1.3333333333333333,0.4714045207910317,3,8.666666666666666,1,0.07058823529411765,0.6,0.043137254901960784,0.06274509803921569,0
1,"('35.241.172.177', 443)",1398,52,616.25,298.003045919626,610.8522223091277,373140.4375,0.4654669657187224,-1.7216027837540282,57.6,80.0,117.80000000000001,172.40000000000003,257.0,540.4000000000002,1290.7999999999995,1398.0,1398.0,11,256,52,79.72727272727273,0.0,61.697341786101894,3806.5619834710747,2.1587982069228633,3.20184245114374,52.0,52.0,52.0,52.0,52.0,52.0,52.0,60.0,145.0,19,1398,52,305.63157894736844,11.860817748044816,479.04655421788937,229485.6011080332,1.7812607520765136,1.3158946425346718,52.0,52.0,52.0,52.0,60.0,99.99999999999994,170.79999999999998,284.0,1398.0,2903.5,1.0,0.0,2,9.5,1,0.13725490196078433,0.9450980392156862,0.6745098039215687,0.6941176470588235,0
2,"('180.148.141.233', 443)",1398,40,550.3333333333334,75.6127131437857,612.6256787159857,375310.2222222222,0.5930892790659616,-1.5438102534752318,40.0,40.0,52.0,63.400000000000006,91.0,397.80000000000007,1223.999999999999,1398.0,1398.0,21,1398,40,127.28571428571429,0.0,288.9150712014639,83471.91836734695,4.033617397901823,14.826728192480914,40.0,40.0,40.0,40.0,40.0,40.0,40.0,60.0,166.0,36,1398,40,303.55555555555554,0.0,498.5686425739435,248570.69135802466,1.667515569180907,0.9218967871198158,40.0,40.0,40.0,40.0,40.0,60.0,119.5,311.0,1398.0,2732.0,1.5,0.8660254037844386,4,9.0,1,0.7058823529411765,0.5803921568627451,0.5529411764705883,0.9137254901960784,0
3,"('2.20.176.180', 443)",1398,52,781.5,730.9228937232617,605.8574502306627,367063.25,-0.14072116407370913,-1.8335727432278206,52.0,72.00000000000001,110.0,302.0,905.0,1398.0,1398.0,1398.0,1398.0,33,813,40,136.87878787878788,0.0,210.67449509463466,44383.742883379244,2.5430177369020806,4.9426604461430115,42.400000000000006,52.0,52.0,52.0,52.0,52.0,52.0,126.00000000000016,260.0,63,1398,40,443.8412698412698,29.65204437011204,549.2624262590468,301689.21289997484,0.94375028042205,-0.8996226024978364,52.0,52.0,52.0,52.0,60.0,172.79999999999995,761.5999999999999,1308.0000000000005,1398.0,9320.666666666666,1.3333333333333333,0.4714045207910317,3,21.0,1,0.00784313725490196,0.0784313725490196,0.6901960784313725,0.7058823529411765,0
4,"('18.182.219.65', 443)",1398,52,639.8181818181819,85.99092867332492,621.0275675599446,385675.2396694215,0.21642294194824116,-1.9056658965090916,52.0,60.0,83.0,103.0,110.0,1161.0,1223.0,1398.0,1398.0,30,791,52,123.5,0.0,187.0184928467414,34975.916666666664,3.004045047831341,7.818263090520995,52.0,52.0,52.0,52.0,52.0,52.0,52.0,83.60000000000034,252.0,52,1398,52,341.9423076923077,5.930408874022408,498.4148879375009,248417.40051775158,1.3813033354923758,0.0791459861409427,52.0,52.0,52.0,52.0,56.0,83.0,157.5999999999997,790.8,1380.4999999999998,5927.0,1.3333333333333333,0.4714045207910317,3,17.333333333333332,1,0.07058823529411765,0.7137254901960784,0.8588235294117647,0.2549019607843137,0
5,"('18.184.40.88', 443)",1398,52,768.6153846153846,974.0696575581804,613.0111730016446,375782.69822485215,-0.07675474673421813,-1.8328598778515819,53.60000000000001,69.20000000000002,95.0,431.0000000000003,741.0,1398.0,1398.0,1398.0,1398.0,17,615,52,105.29411764705883,0.0,138.96794581988297,19312.089965397925,2.9484566744113505,7.759942466909447,52.0,52.0,52.0,52.0,52.0,52.0,52.0,58.400000000000006,211.20000000000005,30,1398,52,392.73333333333335,5.930408874022408,530.8727991608621,281825.928888889,1.2068813141116619,-0.31819477161712006,52.0,52.0,52.0,52.0,56.0,90.99999999999997,336.5999999999993,872.4000000000019,1398.0,5891.0,1.5,0.5,2,15.0,1,0.07058823529411765,0.7215686274509804,0.1568627450980392,0.34509803921568627,0
6,"('213.209.62.1', 443)",1398,52,1090.090909090909,0.0,538.825323374166,290332.7291092746,-1.2623160132084799,-0.3192116993295113,60.0,265.20000000000016,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,91,569,52,86.85714285714286,0.0,95.79930617892911,9177.507064364207,3.6839110134286646,13.936744509502066,52.0,52.0,52.0,52.0,52.0,52.0,52.0,90.0,178.0,190,1398,52,609.5947368421052,80.8018209085553,637.8460538353685,406847.58839335176,0.3823406469897466,-1.8054757263838745,52.0,52.0,52.0,52.0,106.5,749.9999999999991,1398.0,1398.0,1398.0,23164.6,1.2,0.4000000000000001,5,38.0,1,0.8352941176470589,0.8196078431372549,0.24313725490196078,0.00392156862745098,0
7,"('23.56.185.158', 443)",1398,52,802.0952380952381,415.86992229082136,631.7528830289732,399111.7052154195,-0.2346419434407364,-1.8766789574030411,52.0,52.0,76.49999999999994,204.0,1117.5,1398.0,1398.0,1398.0,1398.0,29,1398,52,311.0344827586207,0.0,443.34741438901176,196556.92984542213,1.5773374889004101,1.0435407937364554,52.0,52.0,52.0,52.0,52.0,63.2,177.39999999999972,569.0,1009.1999999999996,71,1398,52,601.5211267605633,154.1906307245826,612.0801949472125,374642.1650466177,0.38378409321095924,-1.7329121601022424,52.0,52.0,52.0,60.0,156.0,899.0,1398.0,1398.0,1398.0,10677.0,1.25,0.4330127018922193,4,17.75,1,0.09019607843137255,0.2196078431372549,0.7254901960784313,0.6196078431372549,0
8,"('95.100.185.45', 443)",83,52,67.5,22.98033438683683,15.5,240.25,0.0,-2.0,55.10000000000001,58.2,61.3,64.4,67.5,70.6,73.69999999999999,76.80000000000001,79.9,3,52,40,44.0,0.0,5.656854249492381,32.0,0.7071067811865475,-1.5,40.0,40.0,40.0,40.0,40.0,42.4,44.8,47.2,49.6,5,83,40,53.4,17.791226622067224,15.742934923323542,247.84,1.0824247428031613,-0.29050990226310613,40.0,40.0,42.4,47.2,52.0,52.0,52.0,58.20000000000001,70.6,267.0,1.0,0.0,1,5.0,1,0.37254901960784315,0.39215686274509803,0.7254901960784313,0.17647058823529413,0
9,"('23.2.226.187', 443)",1398,52,1342.5801886792453,0.0,245.90951354674058,60471.488852794595,-4.406626147399868,18.019801890260545,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,182,600,52,61.967032967032964,0.0,65.18350269097884,4248.889023064846,7.019160842871084,49.24439448759988,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,394,1398,52,751.0279187817259,0.0,664.9181711665317,442116.1743474452,-0.06946499883085047,-1.9777122517250487,52.0,52.0,52.0,52.0,1398.0,1398.0,1398.0,1398.0,1398.0,147952.5,2.5,1.5,2,197.0,1,0.09019607843137255,0.00784313725490196,0.8862745098039215,0.7333333333333333,0
