,model,subclass,class,precision,recall,f1,support
0,MAPPGRAPH,OS,Linux,0.80952381,0.85,0.829268293,20.0
1,MAPPGRAPH,OS,Windows,0.84375,0.964285714,0.9,56.0
2,MAPPGRAPH,OS,OSX,0.975308642,0.877777778,0.923976608,90.0
3,MAPPGRAPH,BROWSERS,chrome,0.807692308,0.84,0.823529412,50.0
4,MAPPGRAPH,BROWSERS,firefox,0.555555556,0.5,0.526315789,20.0
5,MAPPGRAPH,BROWSERS,IExplorer,0.571428571,0.5,0.533333333,8.0
6,MAPPGRAPH,BROWSERS,Safari,0.95505618,0.965909091,0.960451977,88.0
7,MAPPGRAPH,APPS,dropbox,1.0,1.0,1.0,1.0
8,MAPPGRAPH,APPS,facebook,0.0,0.0,0.0,1.0
9,MAPPGRAPH,APPS,google,0.727272727,0.754716981,0.740740741,53.0
10,MAPPGRAPH,APPS,microsoft,0.461538462,0.428571429,0.444444444,14.0
11,MAPPGRAPH,APPS,teamviewer,0.0,0.0,0.0,0.0
12,MAPPGRAPH,APPS,twitter,0.720930233,0.837837838,0.775,37.0
13,MAPPGRAPH,APPS,youtube,0.916666667,0.75862069,0.830188679,29.0
14,MAPPGRAPH,APPS,other,0.896551724,0.838709677,0.866666667,31.0
15,MAPPGRAPH,BOA,dropbox_chrome_Windows,0.0,0.0,0.0,1.0
16,MAPPGRAPH,BOA,facebook_chrome_Linux,0.0,0.0,0.0,0.0
17,MAPPGRAPH,BOA,facebook_firefox_Linux,0.0,0.0,0.0,0.0
18,MAPPGRAPH,BOA,google_chrome_Linux,0.666666667,0.4,0.5,5.0
19,MAPPGRAPH,BOA,google_chrome_Windows,0.6,0.642857143,0.620689655,14.0
20,MAPPGRAPH,BOA,google_chrome_OSX,0.0,0.0,0.0,1.0
21,MAPPGRAPH,BOA,google_firefox_Linux,0.285714286,0.5,0.363636364,4.0
22,MAPPGRAPH,BOA,google_firefox_Windows,0.0,0.0,0.0,0.0
23,MAPPGRAPH,BOA,google_IExplorer_Windows,0.0,0.0,0.0,0.0
24,MAPPGRAPH,BOA,google_Safari_OSX,0.791666667,0.633333333,0.703703704,30.0
25,MAPPGRAPH,BOA,microsoft_chrome_Windows,0.416666667,0.714285714,0.526315789,7.0
26,MAPPGRAPH,BOA,microsoft_firefox_Windows,0.5,0.5,0.5,4.0
27,MAPPGRAPH,BOA,microsoft_IExplorer_Windows,0.0,0.0,0.0,3.0
28,MAPPGRAPH,BOA,twitter_chrome_Linux,1.0,0.4,0.571428571,5.0
29,MAPPGRAPH,BOA,twitter_chrome_Windows,0.363636364,0.285714286,0.32,14.0
30,MAPPGRAPH,BOA,twitter_chrome_OSX,0.333333333,1.0,0.5,1.0
31,MAPPGRAPH,BOA,twitter_firefox_Linux,0.4,0.5,0.444444444,4.0
32,MAPPGRAPH,BOA,twitter_firefox_Windows,0.142857143,0.166666667,0.153846154,6.0
33,MAPPGRAPH,BOA,twitter_IExplorer_Windows,0.166666667,0.25,0.2,4.0
34,MAPPGRAPH,BOA,twitter_Safari_OSX,0.333333333,0.75,0.461538462,4.0
35,MAPPGRAPH,BOA,youtube_chrome_Linux,0.0,0.0,0.0,0.0
36,MAPPGRAPH,BOA,youtube_firefox_Linux,0.0,0.0,0.0,0.0
37,MAPPGRAPH,BOA,youtube_Safari_OSX,0.75,0.75,0.75,28.0
38,MAPPGRAPH,BOA,other_chrome_Linux,0.0,0.0,0.0,1.0
39,MAPPGRAPH,BOA,other_chrome_Windows,0.0,0.0,0.0,2.0
40,MAPPGRAPH,BOA,other_firefox_Linux,0.0,0.0,0.0,1.0
41,MAPPGRAPH,BOA,other_firefox_Windows,0.0,0.0,0.0,1.0
42,MAPPGRAPH,BOA,other_IExplorer_Windows,0.0,0.0,0.0,0.0
43,MAPPGRAPH,BOA,other_Safari_OSX,0.928571429,1.0,0.962962963,26.0
44,CGNN,OS,Linux,0.997411562,1.0,0.998704104,1156.0
